calibration_ligands,repetitions,fraction_top5pct_DAVIS,fraction_top5pct_PKIS2,fraction_top5pct_both_experimental_maps,calibration_vs_full_map_spearman_median,calibration_vs_full_map_spearman_q025,calibration_vs_full_map_spearman_q975,panel_overlap_with_full_source_median,panel_overlap_with_full_source_q025,panel_overlap_with_full_source_q975,DAVIS_fraction_all_panels_no_worse_median,DAVIS_fraction_all_panels_no_worse_q025,DAVIS_fraction_all_panels_no_worse_q975,PKIS2_fraction_all_panels_no_worse_median,PKIS2_fraction_all_panels_no_worse_q025,PKIS2_fraction_all_panels_no_worse_q975,DAVIS_absolute_loss_vs_oracle_median,DAVIS_absolute_loss_vs_oracle_q025,DAVIS_absolute_loss_vs_oracle_q975,PKIS2_absolute_loss_vs_oracle_median,PKIS2_absolute_loss_vs_oracle_q025,PKIS2_absolute_loss_vs_oracle_q975,DAVIS_median_headroom_captured_median,DAVIS_median_headroom_captured_q025,DAVIS_median_headroom_captured_q975,PKIS2_median_headroom_captured_median,PKIS2_median_headroom_captured_q025,PKIS2_median_headroom_captured_q975
200,100,0.26,0.23,0.15,0.915490795062,0.882163670702,0.942795819795,5.5,3,8,0.22958376333,0.00128261831048,0.719144675414,0.121912624699,0.0167784657723,0.67252113126,0.0683721906882,0.0149064881707,0.122554536695,0.0368458447243,0.0226054642128,0.0685537235624,0.297123133521,-0.259879899386,0.846758958721,0.372126242288,-0.16819370923,0.614790273738
500,100,0.24,0.25,0.16,0.961517753885,0.945383244842,0.970538075045,6,4,8,0.175089684997,0.00128261831048,0.749970268809,0.122158337019,0.0158517617573,0.644886972333,0.0618750388044,0.0149064881707,0.12691739489,0.036871574937,0.0223218720554,0.0668351804598,0.363914876058,-0.304730767343,0.846758958721,0.371687785105,-0.138908775646,0.619622842373
2000,100,0.5,0.36,0.35,0.98971793983,0.986437042628,0.992396069882,7,4,8,0.0514644454273,0.00077436237653,0.721922453192,0.100265369306,0.0139073173129,0.552223696496,0.0421730961839,0.0118701650795,0.122914142676,0.0349410471631,0.0217087170776,0.0615120187049,0.566453942794,-0.263576705386,0.877972837323,0.404585055796,-0.0481991284949,0.630071345396
5000,100,0.7,0.69,0.67,0.995642920312,0.994054157367,0.997059019803,8,4,8,0.00128261831048,0.00128261831048,0.286513587891,0.0358346847511,0.0358346847511,0.213440463905,0.0149064881707,0.0149064881707,0.0746505415716,0.027024909899,0.027024909899,0.043245335517,0.846758958721,0.232580699658,0.846758958721,0.539480452761,0.263075347635,0.539480452761
15000,100,0.96,0.96,0.96,0.998412662419,0.997861694305,0.998917597743,8,5,8,0.00128261831048,0.00031451176962,0.188401149934,0.0358346847511,0.0139073173129,0.0681409405868,0.0149064881707,0.00912301561609,0.0635435979056,0.027024909899,0.0217087170776,0.0316550639603,0.846758958721,0.346761826247,0.906213965583,0.539480452761,0.460580043474,0.630071345396
50000,100,1,1,1,0.999510840868,0.999362959316,0.999637989848,8,6.475,8,0.00128261831048,0.00031451176962,0.00599046636198,0.0358346847511,0.0139073173129,0.0358346847511,0.0149064881707,0.00912301561609,0.0235866704798,0.027024909899,0.0217087170776,0.027024909899,0.846758958721,0.7575253203,0.906213965583,0.539480452761,0.539480452761,0.630071345396
