targets_selected_k,transformation,evaluation_map,all_possible_panels,mean_nearest_distance,oracle_mean_nearest_distance,absolute_loss_vs_oracle,fraction_all_panels_no_worse,exact_rank_best_is_1,median_headroom_captured,residual_minus_raw_fraction_all_panels_no_worse,residual_minus_raw_absolute_loss,residual_minus_raw_median_headroom_captured,target_label_permutation_p_two_panel_max_percentile,observed_two_panel_max_percentile
4,raw,DAVIS,5985,0.460757214072,0.342845030111,0.117912183961,0.427903091061,2561,0.0689042849468,-0.396658312448,-0.0619528827689,0.554910066879,0.321083945803,0.427903091061
4,raw,PKIS2,5985,0.52337121273,0.456464628713,0.0669065840171,0.340183792815,2036,0.15110868176,-0.19298245614,-0.0191025310718,0.270687028238,0.321083945803,0.427903091061
4,row_centered_residual,DAVIS,5985,0.47992682479,0.423967523597,0.0559593011922,0.0312447786132,187,0.623814351825,-0.396658312448,-0.0619528827689,0.554910066879,0.085595720214,0.147201336675
4,row_centered_residual,PKIS2,5985,0.613206332038,0.565402279093,0.0478040529454,0.147201336675,881,0.421795709997,-0.19298245614,-0.0191025310718,0.270687028238,0.085595720214,0.147201336675
6,raw,DAVIS,54264,0.349744282371,0.263087115034,0.0866571673368,0.343948105558,18664,0.151524767133,-0.0553774141235,0.00250654491136,0.0723976629515,0.666766661667,0.75175070028
6,raw,PKIS2,54264,0.462338072092,0.378687825441,0.0836502466507,0.75175070028,40793,-0.273985270064,-0.415911101283,-0.0296518664368,0.430444572404,0.666766661667,0.75175070028
6,row_centered_residual,DAVIS,54264,0.418858149744,0.329694437496,0.0891637122482,0.288570691434,15658,0.223922430084,-0.0553774141235,0.00250654491136,0.0723976629515,0.225988700565,0.335839598997
6,row_centered_residual,PKIS2,54264,0.52448193998,0.470483559766,0.0539983802139,0.335839598997,18221,0.15645930234,-0.415911101283,-0.0296518664368,0.430444572404,0.225988700565,0.335839598997
8,raw,DAVIS,203490,0.32318909776,0.201375160139,0.121813937621,0.839053516143,170739,-0.417296415341,-0.837770897833,-0.106907449451,1.26405537406,0.980350982451,0.986608678559
8,raw,PKIS2,203490,0.427386704315,0.309797368166,0.117589336149,0.986608678559,200765,-1.00228183509,-0.950773993808,-0.09056442625,1.54176228785,0.980350982451,0.986608678559
8,row_centered_residual,DAVIS,203490,0.265664673778,0.250758185607,0.0149064881707,0.00128261831048,258,0.846758958721,-0.837770897833,-0.106907449451,1.26405537406,0.0124993750312,0.0358346847511
8,row_centered_residual,PKIS2,203490,0.412189974543,0.385165064644,0.027024909899,0.0358346847511,7289,0.539480452761,-0.950773993808,-0.09056442625,1.54176228785,0.0124993750312,0.0358346847511
10,raw,DAVIS,352716,0.231988682033,0.149495297316,0.0824933847178,0.603635786298,212912,-0.102310060678,-0.468408010978,-0.0196445820725,0.444784009758,0.978501074946,0.98612764944
10,raw,PKIS2,352716,0.355189128749,0.2456666525,0.109522476248,0.98612764944,347823,-0.979472411682,-0.775082502637,-0.0677530301789,1.23807249764,0.978501074946,0.98612764944
10,row_centered_residual,DAVIS,352716,0.237376086706,0.17452728406,0.0628488026454,0.135227775321,47694,0.34247394908,-0.468408010978,-0.0196445820725,0.444784009758,0.128743562822,0.211045146804
10,row_centered_residual,PKIS2,352716,0.348400817731,0.306631371662,0.0417694460695,0.211045146804,74436,0.258600085959,-0.775082502637,-0.0677530301789,1.23807249764,0.128743562822,0.211045146804
12,raw,DAVIS,293930,0.176414932648,0.103113297729,0.0733016349191,0.573092232845,168449,-0.066442490753,-0.124502432552,0.0137477169198,0.106502447135,0.774611269437,0.844469771714
12,raw,PKIS2,293930,0.26092584629,0.183663716722,0.0772621295679,0.844469771714,248215,-0.392187445858,-0.314921920185,-0.0203474854006,0.367310812063,0.774611269437,0.844469771714
12,row_centered_residual,DAVIS,293930,0.202476499394,0.115427147555,0.087049351839,0.448589800293,131851,0.0400599563818,-0.124502432552,0.0137477169198,0.106502447135,0.427428628569,0.529547851529
12,row_centered_residual,PKIS2,293930,0.290108818707,0.23319417454,0.0569146441673,0.529547851529,155647,-0.0248766337946,-0.314921920185,-0.0203474854006,0.367310812063,0.427428628569,0.529547851529
