metric,observed,target_label_qap_p_one_sided_at_least_observed,null_mean,null_q025,null_q975,permutations,seed
raw_vina_vs_sequence_edge_pearson,-0.0599174280586,0.70234297657,0.000612302654659,-0.169425930896,0.225177488183,100000,35260901
row_centered_residual_vina_vs_sequence_edge_pearson,0.20354777624,0.010319896801,0.000205925811666,-0.109301482491,0.157942624774,100000,35260901
residual_minus_raw_sequence_edge_pearson,0.263465204298,0.000179998200018,-0.000406376842993,-0.136129855798,0.144383902573,100000,35260901
