experimental_endpoint,objective,targets_selected_k,evaluation_map,all_possible_panels,raw_vina_selected_mean_nearest_distance,residual_vina_selected_mean_nearest_distance,sequence_selected_mean_nearest_distance,experimental_in_sample_oracle_mean_nearest_distance,raw_vina_selected_excess_loss_over_in_sample_oracle,residual_vina_selected_excess_loss_over_in_sample_oracle,sequence_selected_excess_loss_over_in_sample_oracle,raw_minus_residual_selected_coverage_loss_improvement,raw_vina_selected_exact_fraction_all_panels_no_worse,residual_vina_selected_exact_fraction_all_panels_no_worse,sequence_selected_exact_fraction_all_panels_no_worse,raw_minus_residual_selected_exact_percentile_improvement,residual_selector_has_lower_coverage_loss,raw_vina_numerical_optimal_panel_count,residual_vina_numerical_optimal_panel_count,raw_optimal_experimental_excess_loss_min,raw_optimal_experimental_excess_loss_max,residual_optimal_experimental_excess_loss_min,residual_optimal_experimental_excess_loss_max,all_optimal_pair_coverage_loss_improvement_min_conservative,all_optimal_pair_coverage_loss_improvement_mean,all_optimal_pair_coverage_loss_improvement_max,all_optimal_pair_exact_percentile_improvement_min_conservative,all_optimal_pair_exact_percentile_improvement_mean,all_optimal_pair_exact_percentile_improvement_max,residual_minus_sequence_selected_coverage_loss,sequence_minus_residual_selected_coverage_loss_improvement,residual_minus_sequence_selected_exact_percentile,pooled_mean_coverage_loss_improvement_over_k_and_panels,pooled_mean_exact_percentile_improvement_over_k_and_panels,target_label_p_one_sided_coverage_loss_improvement,target_label_p_one_sided_exact_percentile_improvement,pooled_conservative_mean_coverage_loss_improvement_over_ties,pooled_tie_averaged_mean_coverage_loss_improvement,target_label_p_one_sided_conservative_tie_improvement,target_label_p_one_sided_tie_averaged_improvement
metric_row_centered_residual,squared_1_minus_r2,8,DAVIS,203490,0.484136882037,0.462942304071,0.408344941961,0.359878793967,0.124258088069,0.103063510103,0.0484661479938,0.021194577966,0.942606516291,0.793375595852,0.108560617229,0.149230920438,True,1,1,0.124258088069,0.124258088069,0.103063510103,0.103063510103,0.021194577966,0.021194577966,0.021194577966,0.149230920438,0.149230920438,0.149230920438,0.0545973621095,-0.0545973621095,0.684814978623,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
metric_row_centered_residual,squared_1_minus_r2,8,PKIS2,203490,0.553659226045,0.554200384263,0.505356731122,0.494235751728,0.0594234743166,0.0599646325349,0.0111209793941,-0.000541158218345,0.953403115632,0.958862843383,0.011759791636,-0.00545972775075,False,1,1,0.0594234743166,0.0594234743166,0.0599646325349,0.0599646325349,-0.000541158218345,-0.000541158218345,-0.000541158218345,-0.00545972775075,-0.00545972775075,-0.00545972775075,0.0488436531408,-0.0488436531408,0.947103051747,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
column_rank_then_row_centered,signed_1_minus_r,8,DAVIS,203490,0.409316673075,0.298722652712,0.329295637494,0.272842092938,0.136474580137,0.0258805597732,0.056453544556,0.110594020364,0.914924566318,0.0207332055629,0.229967074549,0.894191360755,True,1,4,0.136474580137,0.136474580137,0.0159034435395,0.0350039094708,0.101470670666,0.111020903632,0.120571136598,0.858528674628,0.889904909332,0.91063442921,-0.0305729847827,0.0305729847827,-0.209233868986,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,signed_1_minus_r,8,PKIS2,203490,0.552923653871,0.485161288425,0.501265177073,0.464927049308,0.0879966045633,0.0202342391172,0.0363381277658,0.0677623654461,0.975954592363,0.0399429947418,0.264386456337,0.936011597622,True,1,4,0.0879966045633,0.0879966045633,0.0202342391172,0.0239471634838,0.0640494410795,0.0659059032628,0.0677623654461,0.905518698708,0.920765148165,0.936011597622,-0.0161038886486,0.0161038886486,-0.224443461595,0.0545200541891,0.598497327406,0.0205989700515,0.00449977501125,0.0492262264181,0.0564830744642,0.00569971501425,0.0125493725314
column_rank_then_row_centered,absolute_1_minus_abs_r,8,DAVIS,203490,0.353709073222,0.323954948374,0.3078072525,0.253088122962,0.10062095026,0.0708668254121,0.0547191295382,0.0297541248481,0.944739299228,0.600486510394,0.291336183596,0.344252788835,True,1,1,0.10062095026,0.10062095026,0.0708668254121,0.0708668254121,0.0297541248481,0.0297541248481,0.0297541248481,0.344252788835,0.344252788835,0.344252788835,0.0161476958739,-0.0161476958739,0.309150326797,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,absolute_1_minus_abs_r,8,PKIS2,203490,0.468228181542,0.476135859056,0.44918961743,0.426154130921,0.0420740506208,0.0499817281349,0.0230354865092,-0.00790767751408,0.706000294855,0.898083443904,0.174873458155,-0.192083149049,False,1,1,0.0420740506208,0.0420740506208,0.0499817281349,0.0499817281349,-0.00790767751408,-0.00790767751408,-0.00790767751408,-0.192083149049,-0.192083149049,-0.192083149049,0.0269462416257,-0.0269462416257,0.723209985749,0.0045112601416,0.0394433481895,0.371581420929,0.433128343583,0.0016755621994,0.00712562950899,0.265936703165,0.297735113244
column_rank_then_row_centered,squared_1_minus_r2,8,DAVIS,203490,0.495650252262,0.46944861495,0.440650432739,0.385711628411,0.10993862385,0.083736986539,0.0549388043271,0.0262016373113,0.960209346897,0.741004471964,0.265885301489,0.219204874932,True,1,1,0.10993862385,0.10993862385,0.083736986539,0.083736986539,0.0262016373113,0.0262016373113,0.0262016373113,0.219204874932,0.219204874932,0.219204874932,0.0287981822119,-0.0287981822119,0.475119170475,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
column_rank_then_row_centered,squared_1_minus_r2,8,PKIS2,203490,0.579840704972,0.583017992841,0.566125811641,0.554627748473,0.0252129564989,0.0283902443676,0.0114980631681,-0.00317728786876,0.722310678657,0.870131210379,0.200466853408,-0.147820531721,False,1,1,0.0252129564989,0.0252129564989,0.0283902443676,0.0283902443676,-0.00317728786876,-0.00317728786876,-0.00317728786876,-0.147820531721,-0.147820531721,-0.147820531721,0.0168921811995,-0.0168921811995,0.669664356971,0.00441097063741,0.0200969618617,0.365781710914,0.462226888656,0.00194870455622,0.00548696670966,0.274386280686,0.330883455827
metric_row_centered_residual,signed_1_minus_r,10,DAVIS,352716,0.293151198755,0.237376086706,0.251454579055,0.17452728406,0.118623914694,0.0628488026454,0.0769272949948,0.0557751120489,0.732084736729,0.135227775321,0.278331575545,0.596856961408,True,1,4,0.118623914694,0.118623914694,0.0594385790427,0.0715289849545,0.0470949297397,0.0531401326956,0.0591853356515,0.513313827555,0.570658121548,0.624278456322,-0.0140784923494,0.0140784923494,-0.143103800225,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,signed_1_minus_r,10,PKIS2,352716,0.397503399419,0.348400817731,0.338090482206,0.306631371662,0.0908720277575,0.0417694460695,0.0314591105445,0.049102581688,0.948423093934,0.211045146804,0.0753183864639,0.73737794713,True,1,4,0.0908720277575,0.0908720277575,0.0364532532481,0.0417694460695,0.049102581688,0.0517606780987,0.0544187745094,0.73737794713,0.777106794135,0.816835641139,0.010310335525,-0.010310335525,0.13572676034,0.0578379806966,0.496900528092,0.0433978301085,0.0201489925504,0.054931116366,0.0640037573506,0.0114994250287,0.0228488575571
metric_row_centered_residual,absolute_1_minus_abs_r,10,DAVIS,352716,0.260656771301,0.278931554987,0.24455977204,0.170293220228,0.0903635510729,0.108638334758,0.0742665518117,-0.0182747836856,0.686504156318,0.894552557865,0.417165651686,-0.208048401547,False,1,1,0.0903635510729,0.0903635510729,0.108638334758,0.108638334758,-0.0182747836856,-0.0182747836856,-0.0182747836856,-0.208048401547,-0.208048401547,-0.208048401547,0.0343717829467,-0.0343717829467,0.477386906179,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
metric_row_centered_residual,absolute_1_minus_abs_r,10,PKIS2,352716,0.352256883601,0.342810879277,0.314849489264,0.283887585327,0.0683692982743,0.0589232939505,0.0309619039375,0.00944600432385,0.903854659273,0.736241055127,0.0871267535354,0.167613604146,True,1,1,0.0683692982743,0.0683692982743,0.0589232939505,0.0589232939505,0.00944600432385,0.00944600432385,0.00944600432385,0.167613604146,0.167613604146,0.167613604146,0.027961390013,-0.027961390013,0.649114301591,0.00423555938578,0.0575707840491,0.407029648518,0.413129343533,0.000348025746641,0.0072178547654,0.32398380081,0.342032898355
metric_row_centered_residual,squared_1_minus_r2,10,DAVIS,352716,0.366060024524,0.394566117842,0.349524138477,0.271476761511,0.0945832630123,0.123089356331,0.0780473769653,-0.0285060933185,0.631235895168,0.918061556606,0.392752242597,-0.286825661439,False,1,1,0.0945832630123,0.0945832630123,0.123089356331,0.123089356331,-0.0285060933185,-0.0285060933185,-0.0285060933185,-0.286825661439,-0.286825661439,-0.286825661439,0.0450419793655,-0.0450419793655,0.525309314009,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
metric_row_centered_residual,squared_1_minus_r2,10,PKIS2,352716,0.444238378077,0.451950928782,0.425108876022,0.406011026347,0.0382273517303,0.0459399024352,0.0190978496744,-0.00771255070493,0.499172138491,0.726791526327,0.0620867780311,-0.227619387836,False,1,1,0.0382273517303,0.0382273517303,0.0459399024352,0.0459399024352,-0.00771255070493,-0.00771255070493,-0.00771255070493,-0.227619387836,-0.227619387836,-0.227619387836,0.0268420527609,-0.0268420527609,0.664704748296,0.00192282399042,0.0311527877008,0.457127143643,0.449227538623,-0.00244725089432,0.00349978965476,0.387280635968,0.422178891055
