calibration_ligands,repetition,calibration_vs_full_map_spearman,panel_overlap_with_full_source,panel_jaccard_with_full_source,calibration_panel_index_lexicographic,top5pct_on_both_experimental_maps,DAVIS_mean_nearest_distance,DAVIS_oracle_mean_nearest_distance,DAVIS_absolute_loss_vs_oracle,DAVIS_fraction_all_panels_no_worse,DAVIS_exact_rank_best_is_1,DAVIS_median_headroom_captured,PKIS2_mean_nearest_distance,PKIS2_oracle_mean_nearest_distance,PKIS2_absolute_loss_vs_oracle,PKIS2_fraction_all_panels_no_worse,PKIS2_exact_rank_best_is_1,PKIS2_median_headroom_captured
200,0,0.907992730642,7,0.777777777778,110236,False,0.312633224411,0.250758185607,0.0618750388044,0.175089684997,35628,0.363914876058,0.420355873788,0.385165064644,0.0351908091443,0.102796206202,20915,0.400328972245
200,1,0.914472955331,6,0.6,97008,False,0.355281031833,0.250758185607,0.104522846226,0.567610201976,115502,-0.0745112872842,0.431040244283,0.385165064644,0.0458751796392,0.257830851639,52463,0.218261336081
200,2,0.917702053497,5,0.454545454545,97012,False,0.322940340384,0.250758185607,0.0721821547769,0.263688633348,53655,0.257956103869,0.418417787687,0.385165064644,0.0332527230429,0.0827264239029,16823,0.433355041055
200,3,0.922846323046,6,0.6,108954,True,0.270731796692,0.250758185607,0.0199736110847,0.00330728782741,673,0.794668138754,0.399287644431,0.385165064644,0.014122579787,0.00219666814094,447,0.75934335864
200,4,0.890140689941,7,0.777777777778,109749,False,0.29381541229,0.250758185607,0.0430572266835,0.0546316772323,11116,0.557364942298,0.415913357519,0.385165064644,0.0307482928756,0.0604648877095,12301,0.476031928824
200,5,0.901079713502,3,0.230769230769,99931,False,0.331825907167,0.250758185607,0.0810677215597,0.345766376726,70359,0.166611080779,0.420282157294,0.385165064644,0.0351170926504,0.101936213082,20742,0.401585142442
200,6,0.921826539636,8,1,110244,True,0.265664673778,0.250758185607,0.0149064881707,0.00128261831048,258,0.846758958721,0.412189974543,0.385165064644,0.027024909899,0.0358346847511,7289,0.539480452761
200,7,0.902116342126,5,0.454545454545,96525,False,0.300446573465,0.250758185607,0.0496883878581,0.0888643176569,18082,0.489195563188,0.421950357016,0.385165064644,0.0367852923722,0.121155830753,24651,0.373158088162
200,8,0.93945959254,7,0.777777777778,86857,False,0.303657502907,0.250758185607,0.0528993172996,0.108742444346,22125,0.456186703861,0.437888348273,0.385165064644,0.0527232836292,0.386018968991,78550,0.101565822175
200,9,0.914570139265,5,0.454545454545,110935,False,0.351407201958,0.250758185607,0.100649016351,0.531903287631,108236,-0.034687707314,0.423653685831,0.385165064644,0.0384886211873,0.143240454076,29145,0.344132414529
200,10,0.908569355314,4,0.333333333333,100475,False,0.319898097154,0.250758185607,0.0691399115474,0.236326109391,48090,0.289230842425,0.430432476841,0.385165064644,0.0452674121971,0.247402820777,50344,0.228618032489
200,11,0.924788705931,6,0.6,119905,False,0.316191830525,0.250758185607,0.0654336449181,0.204295051354,41571,0.327331845896,0.416720446759,0.385165064644,0.0315553821156,0.0673202614379,13698,0.46227867774
