scorer,pc1_min_loading,murcko_interval95_low,murcko_interval95_high,butina_interval95_low,butina_interval95_high,union_interval95_low,union_interval95_high,interval_excludes_zero
released_vina,0.08196720032065333,0.05202381628555015,0.10920228988319283,0.05337718544145076,0.10937545881097317,0.05202381628555015,0.10937545881097317,True
smina_vina,0.09452708969622806,0.0657144402141844,0.12105123031726686,0.06676719637021836,0.12126514209318132,0.0657144402141844,0.12126514209318132,True
vinardo,0.152747418131979,0.09923928610805045,0.1998583352952195,0.10239197781938221,0.1983586124623583,0.09923928610805045,0.1998583352952195,True
rfscore_v1,0.06406094270006946,0.04389132153804468,0.0838895201946444,0.04517280218636815,0.08205778982874201,0.04389132153804468,0.0838895201946444,True
rfscore_v2,0.046861826400310835,0.027517537883934393,0.06529466312654668,0.02902219394563534,0.06373969340056125,0.027517537883934393,0.06529466312654668,True
rfscore_v3,0.05719078084122401,0.03708722990150015,0.076258823588476,0.03853996756041543,0.07468946274504899,0.03708722990150015,0.076258823588476,True
nnscore,0.1342154079067432,0.11293201345991252,0.1534154654512036,0.11454529873995631,0.15298053134811454,0.11293201345991252,0.1534154654512036,True
plecscore_linear,0.22347873474148142,0.19778124680200665,0.24631814997885,0.1982055716712949,0.24738384246641787,0.19778124680200665,0.24738384246641787,True
