endpoint,metric,standard_centered,within_ligand_ordinal,ordinal_minus_standard_centered,permutations,one_sided_p_positive_gain,one_sided_p_negative_gain,two_sided_p_difference,null_q025,null_median,null_q975,seed
DAVIS,spearman_geometry_concordance,0.29249826136020685,0.2525869647941844,-0.039911296566022436,50000,0.9545609087818243,0.04545909081818364,0.09091818163636728,-0.04879397446495817,0.00020994895615999835,0.04839892051245043,20260805
PKIS2,spearman_geometry_concordance,0.3002716214620321,0.24620626610155405,-0.05406535536047807,50000,0.9849403011939761,0.015079698406031879,0.030159396812063758,-0.0471287730670481,0.00014696426931201222,0.04796708175324875,20260805
PKIS1,spearman_geometry_concordance,0.18535431073320308,0.14189137765880666,-0.043462933074396415,50000,0.9644007119857603,0.035619287614247715,0.07123857522849543,-0.04873287057084243,-0.00018195576200536953,0.04999291422272956,20260805
KiRHub,spearman_geometry_concordance,0.33612915359953116,0.30402795820266193,-0.03210119539686923,50000,0.9307413851722965,0.06927861442771145,0.1385572288554229,-0.04663521806260853,-1.7495746346546381e-06,0.048470259418178965,20260805
equal_weight_mean_of_four_panels,mean_spearman_geometry_concordance,0.2785633367887433,0.23617814168930176,-0.042385195099441525,50000,0.9720405591888163,0.027979440411191776,0.05595888082238355,-0.04383754980820286,-2.1869682933347775e-05,0.04473076233340772,20260805
replicated_upper_10pct_in_at_least_two_old_panels,roc_auc,0.7180952380952381,0.7302857142857143,0.012190476190476196,50000,0.32067358652826944,0.6839463210735786,0.6413471730565389,-0.05219047619047623,-0.0003809523809523707,0.05485714285714283,20260805
replicated_upper_10pct_in_at_least_two_old_panels,average_precision,0.2954755215313279,0.29967649242933037,0.004200970898002476,50000,0.30753384932301353,0.6924861502769944,0.6150676986460271,-0.058935578108154786,5.191314863408486e-05,0.06061605441344714,20260805
