target_a,target_b,replicated_endpoint_positive,docking_raw_column_z,docking_standard_centered,docking_within_ligand_ordinal,docking_heavy_atom_efficiency,experimental_DAVIS_centered,experimental_PKIS2_centered,experimental_PKIS1_centered,experimental_KiRHub_centered
ABL1,AKT1,False,0.5307863194641513,-0.44524843779504136,-0.38612579456753876,-0.26881678157098277,-0.44573869239428915,-0.3578359374165858,-0.4184935606804718,-0.5639000526953813
ABL1,AKT2,False,0.6444304630883974,-0.12306060772346747,-0.07766541645416514,-0.04571955642949292,-0.475793428933941,-0.43668684994545975,-0.4194489061150166,-0.5899173157379262
ABL1,CDK2,False,0.6106118135555938,-0.30713256491306046,-0.27336953274995235,-0.2646322560721743,-0.37950237989764785,-0.11901292870852899,-0.025099735877072104,-0.5232617760755086
ABL1,CSF1R,False,0.6409820661030483,0.013423926871083965,0.10576580527158704,-0.13144159634145366,0.32426118758079936,0.26869897740341436,0.15163792251281813,0.37880528960754356
ABL1,EGFR,False,0.6667197122424421,-0.09877818644212001,-0.009487053662974674,-0.04849463350481342,-0.027749196729083526,-0.20217315964183447,-0.17461955013884173,0.011693873848013093
ABL1,FGFR1,False,0.750920278016205,0.4111627907275037,0.4625399921588425,0.35086486168414194,-0.14376506526195307,0.01119661601530648,-0.10356433635506841,0.15810324529917338
ABL1,IGF1R,False,0.53074248119031,-0.27414847623511807,-0.2327980358369346,-0.29131268996727167,-0.3700161726443283,-0.32818379939972836,-0.30862589877410174,-0.1753241520325329
ABL1,JAK2,False,0.5927662712055799,-0.2246809417932946,-0.1769367973591133,-0.28237335065694963,-0.18570550805926442,-0.2830906914018644,-0.22435284526704974,-0.13104431229086927
ABL1,KDR,True,0.7125577928669282,0.4190082903783279,0.47136802623806456,0.3395241691656069,-0.11293723940139619,0.3591251175100621,0.3761348495106243,0.2478705041247339
ABL1,KIT,False,0.7297612581453238,0.24731023548092765,0.2828229105348658,0.18087288206022042,0.3390606758310137,0.24062460114031595,0.3578067292891783,0.1711583469224406
ABL1,LCK,True,0.6454642785997416,-0.12631535010075992,-0.17267142626127768,-0.039500581809586,0.7808323329567225,0.3127460883763294,0.5932189380821268,0.657540647207573
ABL1,MAP2K1,False,0.5882190060208096,-0.2900972000323119,-0.24096244550093113,-0.10789005473733546,-0.14974660263441217,-0.05545047211288395,-0.5250997782361227,-0.32960040475065994
ABL1,MAPK1,False,0.5960339034479863,-0.17554988716047393,-0.08801766745475087,-0.21783200319611307,-0.47295666101404416,-0.26280455567169825,-0.5375420140420669,-0.5684329537522469
ABL1,MAPK14,False,0.629529727103572,-0.046375008324375466,-0.03692225185481519,-0.03507230552510653,0.03555797422244334,-0.07863919940166504,-0.17022551590804982,0.062306997624138855
ABL1,MAPKAPK2,False,0.6546441837858326,-0.18187325217875314,-0.19897871020925423,-0.11399349560651513,-0.5381273174463919,-0.3422535998070806,-0.44243813055895653,-0.5820177056820093
ABL1,MET,False,0.6967567217098662,0.20480163291426048,0.27569001782135083,0.15512269162969974,-0.1805546088664759,0.05803222056377591,-0.05761777918319348,-0.033911764061080964
ABL1,PLK1,False,0.6122454024334779,-0.27544871363729745,-0.19953175039900395,-0.2539669599846364,-0.3798860358370301,-0.2355957450903746,-0.2998900360545353,-0.5443461405892123
ABL1,ROCK1,False,0.5598421993797862,-0.4273875048512807,-0.4058757355929576,-0.29466536154561224,-0.4107854900007856,-0.29889816026125354,-0.41338138745864156,-0.5224125601587762
ABL1,SRC,True,0.6045679109275619,-0.24653669900449085,-0.25989182441078634,-0.1604890786148619,0.5889304691305588,0.23929445172679495,0.6718119332755329,0.5537263623037476
AKT1,AKT2,True,0.8254949044386133,0.17942723085377332,0.11722059969203294,0.0761976442303344,0.9559847862535527,0.690560750343774,0.9945692101419624,0.933812341029806
AKT1,CDK2,False,0.8250129091364978,0.11920116958994258,0.10459698736229936,0.05370962980619846,0.35429090639328775,0.050501690098721554,-0.18404122117739902,0.41285750744882294
AKT1,CSF1R,False,0.6854942558480894,-0.2240790135168083,-0.28921763197694716,-0.057354453849488826,-0.42150509198930836,-0.35927690636401,-0.4447684362678372,-0.5313431303928419
AKT1,EGFR,False,0.7908484771912406,-0.04880785846540892,-0.08790077218133166,-0.11120523303158576,0.03748996203045264,-0.04181387977560814,0.07644556869030456,-0.11377634356426057
AKT1,FGFR1,False,0.6044060882413129,-0.2618705923141009,-0.3071982029025582,-0.21290750056545873,-0.17783796606858343,0.0801200356803987,0.08870393814907485,-0.39561919159991693
AKT1,IGF1R,False,0.7305276638231198,-0.024331797294356302,-0.027944088571482603,-0.04187805495117553,0.12822846763307516,0.08079935841254662,0.016664376650985545,0.011677286906756299
AKT1,JAK2,False,0.7628531523129936,-0.035929166608390475,-0.06835115522901744,0.04183348855698609,-0.15158503902974999,0.06834378569729375,0.1588986052126274,-0.2264243466014863
AKT1,KDR,False,0.5153444699852289,-0.2817726392302719,-0.24468579944692684,-0.19566171062464446,-0.27330907305118385,-0.3406931155752739,-0.09534418331732701,-0.38262512402185767
AKT1,KIT,False,0.6854549572233063,-0.2619563524352973,-0.2765176886534119,-0.17773952241025803,-0.4611445279839958,-0.3827809277701749,-0.477486646276247,-0.32093042334713834
AKT1,LCK,False,0.7973289910881743,0.039158669236145895,-0.01874790786976085,-0.06306402222919015,-0.5167095705792709,-0.3995390764669895,-0.4039432292201076,-0.6687788571949767
AKT1,MAP2K1,False,0.8696802347452076,0.40040398801834554,0.33743080689576943,0.11619208332767175,-0.1307536160009901,-0.033138818432031404,0.21817229944253266,0.2904418022542359
AKT1,MAPK1,True,0.750544609945655,-0.04383108122354676,-0.11533099315582374,-0.02928323322270841,0.49594522408455766,0.35454962943178003,0.26474705895720424,0.7587531489675203
AKT1,MAPK14,False,0.737064893759833,-0.06045684130088729,-0.06209547050187227,-0.06860159697592978,0.11597665361776534,-0.04012697434733213,0.06754229515033941,0.17171010400417083
AKT1,MAPKAPK2,True,0.8270011315252209,0.09590386901321692,0.17265819376357727,0.03304220343094197,0.58527207920848,0.21292354166515468,0.531964203667623,0.7240460338587361
AKT1,MET,False,0.6781669573531255,-0.17845553680537016,-0.15105408717649674,-0.12580291808791114,-0.019902454197614623,-0.1639028155531148,-0.07545587453857897,0.0672927603615367
AKT1,PLK1,False,0.8131609310087132,0.08182205602521886,-0.06474163701363135,0.03500150137310598,0.20237721133184455,0.14543703429855917,0.09683867958616153,0.5918291757055631
AKT1,ROCK1,True,0.8808631004702747,0.43133310099787875,0.38749639464808844,0.24855791390468412,0.5508640355752611,0.36148469771907843,0.3354474000478611,0.7391734082487404
AKT1,SRC,False,0.8168375218742935,0.14810958418647038,0.08028010855757003,0.02498159254039523,-0.37813347956870264,-0.30280791994948353,-0.5091623611080522,-0.569591552281479
AKT2,CDK2,False,0.8129472992608209,0.001975741136343869,-0.01865637673391212,0.002425178696150638,0.3744659342623897,0.12534316906528375,-0.18299409049525345,0.45001455767560405
AKT2,CSF1R,False,0.7236603505463416,-0.12398597047787269,-0.1340013681167455,-0.020478634034070534,-0.4160412839772478,-0.3414080581587303,-0.4499125407890878,-0.5505770194502154
AKT2,EGFR,False,0.7850082520327072,-0.14114255256703362,-0.1701649460337852,-0.18007114114976436,0.040211866608778846,-0.004616777330841287,0.08150330469495769,-0.054964256971017166
AKT2,FGFR1,False,0.6700377714999146,-0.08569307445921272,-0.08191439660820558,-0.1131867505169723,-0.17502840237062933,-0.009880586459347217,0.10622673523349442,-0.4115791765358117
