representation,residual_correlation_pr,continuous_experimental_geometry_spearman,experimental_top10_pair_roc_auc,experimental_top10_pair_average_precision
Vina,11.826276432242816,0.10416109208825597,0.5056689342403629,0.10111880065112136
Boltz_mean_head,7.705796345441892,0.7879744600622625,0.9314688838498363,0.6223869530301275
Boltz_head_1,9.05060313469105,0.7370889524543801,0.9148400100781053,0.6269011083083713
Boltz_head_2,8.289238817430524,0.7512492994658123,0.8843537414965986,0.518809214805429
Boltz_head_rank_consensus,,0.790535985593053,0.9164777021919879,0.5923736138578573
Vina_Boltz_equal_rank_consensus,,0.6216804148069437,0.8131771227009322,0.3634165430108309
Vina_two_Boltz_heads_equal_rank_consensus,,0.7355021418731159,0.863567649281935,0.45057916061048886
