support,surface,raw_pr,residual_pr,pr_increase,residual_to_raw_ratio,raw_pc1_fraction,residual_pc1_fraction,raw_mean_squared_correlation,residual_mean_squared_correlation,n_ligands,n_targets
43_target_mean_imputed_primary,normalized_scalar_score,1.8387965916347,9.314271976451064,7.475475384816364,5.065417251056913,0.7319929349137526,0.27613014501979843,0.5329728459572982,0.08610883872036418,12651,43
43_target_mean_imputed_primary,unnormalized_numerator_matched_mask,1.70007585586861,7.129428519498774,5.429352663630164,4.193594359268267,0.7616812391675253,0.32860428869420805,0.5784045010972853,0.11979378478799359,12651,43
43_target_mean_imputed_primary,unnormalized_numerator_matched_mask_no_clip,1.7001402020518563,7.129414557418764,5.429274355366908,4.1934274295816625,0.7616661793279434,0.3286036304443158,0.5783817087570101,0.1197940660173804,12651,43
43_target_mean_imputed_primary,numerator_divided_by_inferred_q,1.8379539753458534,9.28305210140205,7.445098126056197,5.050753297375268,0.732156863520279,0.27664934089685916,0.5332281047398364,0.08647850566893783,12651,43
43_target_mean_imputed_primary,numerator_divided_by_integer_q,1.8345106165436644,9.270380985194647,7.435870368650983,5.053326430271981,0.7328740703602298,0.2769228062610524,0.5342736590168842,0.08662925162425918,12651,43
43_target_mean_imputed_primary,numerator_divided_by_rotatable_bond_q,1.8481852936083396,8.870434143645982,7.022248850037642,4.7995372402989,0.7298105775970196,0.2864204115889112,0.5301444154141078,0.09160867413097872,12651,43
43_target_complete_case_sensitivity,normalized_scalar_score,1.3217693979836602,14.202589651509909,12.880820253526249,10.745134267123865,0.868695692729924,0.20731958946938786,0.7507654704151348,0.04827659209826629,9297,43
43_target_complete_case_sensitivity,unnormalized_numerator_matched_mask,1.2313819824241825,13.093953474253526,11.862571491829344,10.633543174373784,0.9003814925063636,0.21982558125300763,0.8076217772998064,0.05437996463051284,9297,43
43_target_complete_case_sensitivity,numerator_divided_by_rotatable_bond_q,1.315715880402861,14.154226478478238,12.838510598075377,10.7578138177859,0.8707098765026038,0.2080881586290128,0.7543292362820859,0.048522901093118936,9297,43
