scheme,repetition,raw_pr,residual_pr,pr_increase,residual_to_raw_ratio,raw_pc1_fraction,residual_pc1_fraction,raw_mean_squared_correlation,residual_mean_squared_correlation,n_ligands,n_targets
global,0,1.5049770468915027,7.026567463110059,5.521590416218556,4.668886796395521,0.8118265499319777,0.32903428983389077,0.6564729601819627,0.121895975950436,12651,43
within_exact_heavy_atom_count,0,1.6505552113010966,9.42011359636145,7.769558385060353,5.707239316724086,0.7744663023101374,0.27171321616023947,0.5964723769712909,0.08487382839601366,12651,43
global,1,1.501171402552956,6.975000874252662,5.473829471699706,4.646372068100071,0.8128731883968928,0.3310395372293751,0.6581975555075947,0.1229731852204904,12651,43
within_exact_heavy_atom_count,1,1.6449456986878837,9.493878042343088,7.848932343655204,5.771544951250382,0.7758494062171843,0.26961026416971273,0.5985876316869653,0.0840293929369618,12651,43
global,2,1.5102653733157574,6.968443402633538,5.45817802931778,4.614052288926191,0.810313576582839,0.33095331418615304,0.6540908915074017,0.12311131125424418,12651,43
within_exact_heavy_atom_count,2,1.649143033640948,9.424364184259012,7.775221150618064,5.7147039353233495,0.7748143401510605,0.27191341103981337,0.5970035305616158,0.08482480990176632,12651,43
global,3,1.5107663389479473,6.952695965043956,5.441929626096009,4.602098806282384,0.8101704764427937,0.3318642500391946,0.6538661017425217,0.12344407809640258,12651,43
within_exact_heavy_atom_count,3,1.65246288104329,9.433350575718753,7.780887694675464,5.708661104546545,0.7739951155189242,0.2714571287924047,0.5957562985483963,0.08472132274300316,12651,43
global,4,1.5031464006330904,7.03793230359828,5.53478590296519,4.682133623600514,0.8123484157554041,0.3284465176418486,0.6573014600429596,0.12166069097018936,12651,43
within_exact_heavy_atom_count,4,1.649016113474068,9.448686271731843,7.799670158257775,5.729893234230322,0.7748428595487213,0.27109418444733785,0.5970513128093559,0.08454517168634759,12651,43
global,5,1.5047656599610875,7.070167544895454,5.565401884934366,4.698517339290082,0.8118955167947516,0.3273058579806679,0.6565685251127246,0.12099744396151542,12651,43
within_exact_heavy_atom_count,5,1.6533841925983017,9.441060535393277,7.787676342794975,5.710143218773975,0.7737813502640738,0.2711119447842914,0.5954110592786706,0.08463269197453965,12651,43
global,6,1.5079640662702873,6.953898163547668,5.445934097277381,4.611448189708555,0.810954199739578,0.33140148985598383,0.65512543671759,0.12341862071182293,12651,43
within_exact_heavy_atom_count,6,1.6554717352098454,9.430876833678116,7.775405098468271,5.696791212495495,0.7732666501370498,0.271628368993271,0.5946302248339328,0.08474979064928134,12651,43
global,7,1.508711498854216,6.957283271508797,5.4485717726545815,4.611407334531799,0.8107469897839132,0.33195033000361374,0.6547890847296511,0.12334698597385536,12651,43
within_exact_heavy_atom_count,7,1.6478295894789077,9.488482794570341,7.840653205091433,5.758169931619494,0.775156270610168,0.270143915256841,0.5974983652746151,0.08409071124126688,12651,43
global,8,1.5144748096881018,6.840309891307571,5.32583508161947,4.516621767196179,0.809089459896863,0.3357248506382118,0.6522066880549523,0.1258634500875428,12651,43
within_exact_heavy_atom_count,8,1.6582492560251485,9.434295418779909,7.776046162754761,5.689310810483386,0.7725610117400491,0.2718465737334933,0.5935943556673244,0.08471045339741513,12651,43
global,9,1.5155885318903894,6.922149772984934,5.406561241094544,4.567301498613846,0.8088210972663635,0.3331276247448152,0.6517099211235471,0.12409388154659015,12651,43
within_exact_heavy_atom_count,9,1.647321994728853,9.471383227161077,7.824061232432224,5.749563993844478,0.7752581200603709,0.2708273017517762,0.5976898109201393,0.08428551355244733,12651,43
global,10,1.504580160874618,7.017418982527682,5.512838821653063,4.664037958900395,0.8119148993805171,0.3290769248524567,0.6566524086503457,0.12208592954143851,12651,43
within_exact_heavy_atom_count,10,1.6436119838430638,9.516855405692214,7.87324342184915,5.790208090014088,0.7762065036878567,0.2691183031568774,0.5990926780931848,0.08376902815598829,12651,43
global,11,1.5123396119111727,6.881981992201101,5.369642380289928,4.550553287104745,0.8097011426110475,0.33427725702096217,0.6531611220335193,0.12495714325960529,12651,43
within_exact_heavy_atom_count,11,1.6466617045008052,9.455517766684675,7.80885606218387,5.742234571217631,0.7754239579495694,0.27073281852480197,0.5979390241837622,0.08446688675540454,12651,43
global,12,1.5165884931801794,6.934155875134154,5.417567381953974,4.572206571733719,0.808558000730073,0.33232947338696445,0.6512645179713603,0.12383779509210326,12651,43
within_exact_heavy_atom_count,12,1.6453479625196223,9.440822958055332,7.795474995535709,5.737888381736602,0.7757383655215182,0.27114597247743594,0.5984354645646685,0.0846354209117373,12651,43
global,13,1.5096765957269904,6.857792779654253,5.348116183927263,4.542557524614639,0.8104342967007496,0.3349717067242958,0.6543552743381912,0.12548188185192594,12651,43
within_exact_heavy_atom_count,13,1.6513801490115603,9.443746437318357,7.792366288306797,5.718699260718949,0.7742766001679974,0.2715443117348324,0.5961625186195493,0.08460184985504107,12651,43
global,14,1.51457103452058,7.019230667412841,5.504659632892261,4.634467784889797,0.8091507413972832,0.32909705352008917,0.6521637388995434,0.12204827347909011,12651,43
within_exact_heavy_atom_count,14,1.6493381491472763,9.530641827905729,7.881303678758453,5.778464430009797,0.7748006148512699,0.26913042347832583,0.5969300888277287,0.08361341184333103,12651,43
global,15,1.5029447368221514,7.062746603651204,5.559801866829053,4.699272322270997,0.8124015702992703,0.32806034294990416,0.6573928509193582,0.12114959496733399,12651,43
within_exact_heavy_atom_count,15,1.645659167973082,9.49228015142788,7.846620983454797,5.768071746666284,0.7756839327395111,0.2697148466586778,0.598317793762878,0.0840475460911698,12651,43
global,16,1.5122769024652047,6.906101639046047,5.393824736580842,4.566691210973478,0.8097465671153292,0.3333691394484404,0.6531891939124644,0.12443757380355813,12651,43
within_exact_heavy_atom_count,16,1.6487907102468748,9.462700232236976,7.813909521990102,5.739176096413182,0.7749069819214779,0.27063715932660054,0.5971361895831898,0.0843847018008014,12651,43
global,17,1.5055760658157398,6.913136586320723,5.407560520504983,4.591688685337263,0.811611899079459,0.33328450195626574,0.6562022982798579,0.12428671456588654,12651,43
within_exact_heavy_atom_count,17,1.6533077568822272,9.488406065466018,7.835098308583791,5.73904406240678,0.7738257011435874,0.26985291949139306,0.5954396870816184,0.08409158378912529,12651,43
global,18,1.5070440778192349,6.997389208055415,5.49034513023618,4.643121797858078,0.8112207306657678,0.3301783968013135,0.6555398985982299,0.12250355001962841,12651,43
within_exact_heavy_atom_count,18,1.652803942604154,9.457459691154597,7.804655748550442,5.722069900349732,0.7739312927158463,0.2711106598123236,0.5956284490914915,0.08444465408214359,12651,43
global,19,1.5122812469689837,6.874460232499843,5.36217898553086,4.54575512741304,0.8097256483351977,0.33461201307846106,0.6531872490206047,0.12511991780239223,12651,43
within_exact_heavy_atom_count,19,1.6511127916223702,9.558464739341247,7.907351947718876,5.789104649809645,0.774373443715349,0.268440566031152,0.5962629079493853,0.08330072367568923,12651,43
global,20,1.5023865162073444,6.9894375313935075,5.487051015186163,4.652223283418296,0.8125274573905631,0.3296842925311578,0.6576459556992041,0.12267000608269112,12651,43
