panel,mw_quintile,ligands,mw_lower_edge,mw_upper_edge,mw_median,residual_pr,mean_absolute_correlation
PKIS2,1,129,149.15699999999998,327.39020000000005,292.38200000000006,13.090735678128738,0.1391399940558171
PKIS2,2,129,327.39020000000005,381.42760000000004,352.40900000000016,11.486560812272483,0.16307007003445495
PKIS2,3,129,381.42760000000004,436.46460000000013,408.88500000000016,9.518477714129627,0.19237082494910301
PKIS2,4,129,436.46460000000013,500.77660000000026,462.5310000000001,7.812865509099088,0.2361700516677437
PKIS2,5,129,500.77660000000026,785.5919999999998,543.6190000000003,8.803866167342154,0.20972799937082834
PKIS1,1,72,216.20399999999998,330.38980000000004,295.8215,4.3142844422773905,0.37326684381391867
PKIS1,2,73,330.38980000000004,378.82400000000024,360.37700000000007,4.709386478389197,0.34857840038864313
PKIS1,3,71,378.82400000000024,445.4866000000002,408.4650000000001,5.593818461221347,0.299871169702537
PKIS1,4,72,445.4866000000002,504.6812000000002,468.96650000000017,6.4640668753960355,0.26321124191767636
PKIS1,5,72,504.6812000000002,728.6999999999999,565.5765000000002,5.944910138608175,0.2961081477014229
DAVIS,1,15,255.325,373.8494000000001,346.8210000000001,4.492321970153958,0.3548709719058021
DAVIS,2,14,373.8494000000001,440.2666000000002,395.9625000000002,4.639862029648292,0.3501129580865701
DAVIS,3,14,440.2666000000002,476.2668000000001,459.13450000000023,4.613317729014573,0.35414361419629514
DAVIS,4,14,476.2668000000001,524.0860000000004,490.81600000000026,3.1512551474561397,0.4566958701575276
DAVIS,5,15,524.0860000000004,641.6210000000002,557.0540000000001,5.896731627341718,0.2834745372332598
