first_panel,second_panel,direction_spearman,sign_agreement_fraction,target_label_qap_p_positive,qap_null_interval_95,qap_permutations,holm_p_across_three_panel_pairs
PKIS2,PKIS1,0.06025622520524698,0.5105263157894737,0.18248175182481752,"[-0.13478928560493733, 0.1259131686108814]",10000,0.36496350364963503
PKIS2,DAVIS,0.1694699226250618,0.5736842105263158,0.011698830116988301,"[-0.138009640156237, 0.1420996645190638]",10000,0.035096490350964904
PKIS1,DAVIS,-0.0010191272246934965,0.5052631578947369,0.4901509849015098,"[-0.14413315137757135, 0.1658639180849155]",10000,0.4901509849015098
