panel,removed_target,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
PKIS2,ABL1,0.28936568507451943,0.7106343149254806,0.3567251461988304,0.2,13.256106517878386,9.267814831224056,0.12698187834957803,0.1925106724756287
PKIS2,AKT1,0.3344013247894017,0.6655986752105982,0.3508771929824561,0.2413793103448276,12.956265649650451,9.314133712302374,0.13493893494643122,0.1989955374988345
PKIS2,AKT2,0.3417044663642691,0.6582955336357309,0.3391812865497076,0.2413793103448276,13.123268485122844,9.263088427562856,0.13056906595071543,0.19941014170260543
PKIS2,CDK2,0.336124511003912,0.6638754889960881,0.3333333333333333,0.2413793103448276,13.014961932850076,8.51292641657494,0.13473883604183734,0.21522675808393846
PKIS2,CSF1R,0.3228070175438597,0.6771929824561402,0.3508771929824561,0.2413793103448276,13.113062652617975,9.49821492120458,0.13061357712019514,0.18962366245402015
PKIS2,EGFR,0.3065279477764178,0.6934720522235822,0.3508771929824561,0.2413793103448276,13.24581341852858,8.659746935441513,0.12811703689777432,0.2089949488784967
PKIS2,FGFR1,0.33500131998944016,0.6649986800105598,0.3391812865497076,0.2413793103448276,12.93264487868148,8.608827982798594,0.13615967500335258,0.2113635079347918
PKIS2,IGF1R,0.3285501715986272,0.6714498284013728,0.3508771929824561,0.2857142857142857,13.405038752844865,8.689310824004936,0.12615680090166909,0.2088019479167431
PKIS2,JAK2,0.36645066839465285,0.6335493316053471,0.3391812865497076,0.16129032258064516,13.25487532331754,8.650332629842483,0.13002235573490625,0.21003115772733996
PKIS2,KDR,0.3570739434084527,0.6429260565915473,0.32748538011695905,0.2857142857142857,13.11881257165811,9.331466673526306,0.13166676247965495,0.1925394669289837
PKIS2,KIT,0.2706458348333214,0.7293541651666786,0.3684210526315789,0.2,13.138431012117605,9.437151794475996,0.13148129288224222,0.19070170347752516
PKIS2,LCK,0.27452180382556945,0.7254781961744305,0.36257309941520466,0.2,13.121230827887244,9.282097054183064,0.13103225546885183,0.1923585737234912
PKIS2,MAP2K1,0.3804137566899465,0.6195862433100535,0.30409356725146197,0.2413793103448276,13.033408386658742,8.525648350821452,0.13289038369878425,0.21350623379190048
PKIS2,MAPK1,0.28785369717042264,0.7121463028295774,0.3333333333333333,0.2413793103448276,13.050969520676396,8.984962161503864,0.13247414477128683,0.2017534123410366
PKIS2,MAPK14,0.32404300765593874,0.6759569923440613,0.34502923976608185,0.2413793103448276,12.918753046573288,8.53807761078416,0.13475893566238942,0.21527946622736108
PKIS2,MAPKAPK2,0.30654954760361924,0.6934504523963807,0.3391812865497076,0.2857142857142857,13.330974720792888,8.849288468149178,0.12851015678669242,0.20268084051425506
PKIS2,MET,0.38620011039911684,0.6137998896008832,0.29239766081871343,0.2413793103448276,12.872799354574022,8.683582064249206,0.13622987902583664,0.2089778017660038
PKIS2,PLK1,0.38252093983248137,0.6174790601675186,0.32748538011695905,0.2413793103448276,13.105570386811387,8.665627470944496,0.13208909627121343,0.20953215512960635
PKIS2,ROCK1,0.38463772289821685,0.6153622771017832,0.3157894736842105,0.2,13.235264368884161,8.947743046389116,0.13027403786304326,0.20425702807994583
PKIS2,SRC,0.308390332877337,0.691609667122663,0.3508771929824561,0.2413793103448276,13.138811371217916,8.891963036302709,0.13066246874092466,0.20242479681575826
PKIS1,ABL1,0.4789593683250535,0.5210406316749465,0.391812865497076,0.16129032258064516,4.420867926730895,6.399827128550315,0.367730952710719,0.2711108598172491
PKIS1,AKT1,0.5567979456164351,0.44320205438356486,0.32748538011695905,0.2413793103448276,4.206926011620947,5.876875745054122,0.38628933606295474,0.29575002316910554
PKIS1,AKT2,0.556219550243598,0.44378044975640196,0.32748538011695905,0.2413793103448276,4.291301320282544,5.876437266387284,0.38182750520763387,0.2958210697745829
PKIS1,CDK2,0.601639186886505,0.398360813113495,0.2982456140350877,0.2,4.053811153166615,5.675600185923529,0.39543567767235754,0.3042138431975691
PKIS1,CSF1R,0.5331821345429236,0.4668178654570764,0.3684210526315789,0.16129032258064516,4.331675155529779,6.163930759221673,0.37510155647809873,0.27570607113445633
PKIS1,EGFR,0.5816305469556243,0.41836945304437567,0.3567251461988304,0.2413793103448276,4.0114688629418795,5.663497722345047,0.4000772522641122,0.30308005611077504
PKIS1,FGFR1,0.5680706554347565,0.43192934456524346,0.3216374269005848,0.2413793103448276,4.142765827209998,5.703626230419947,0.3886891639475443,0.3012562949616421
PKIS1,IGF1R,0.5679770561835505,0.43202294381644946,0.32748538011695905,0.2,3.931869508764286,5.673146331349781,0.40636193936219644,0.2992083464042607
PKIS1,JAK2,0.5485036119711042,0.4514963880288958,0.3508771929824561,0.2413793103448276,3.9685233824552104,5.849912520570514,0.4002661517993574,0.2936043075013032
PKIS1,KDR,0.5349845201238391,0.4650154798761609,0.36257309941520466,0.2,3.8799548892167146,6.287735794259944,0.41448137595993206,0.27359299093936196
PKIS1,KIT,0.48518011855905163,0.5148198814409484,0.38596491228070173,0.16129032258064516,4.717460394706459,6.547927982296264,0.34652788208515617,0.2644942938757441
PKIS1,LCK,0.4853937168502653,0.5146062831497347,0.3742690058479532,0.16129032258064516,4.327527490260418,6.392483911865497,0.3761494362277171,0.27208252188088844
PKIS1,MAP2K1,0.5168142654858762,0.48318573451412383,0.3567251461988304,0.2413793103448276,4.119364568183005,6.354541436832762,0.3919617491274195,0.27536748095161123
PKIS1,MAPK1,0.518638250893993,0.48136174910600704,0.3567251461988304,0.2,4.150591509512083,6.296896146892634,0.3894141894966022,0.2766647047467683
PKIS1,MAPK14,0.556171550627595,0.44382844937240495,0.3391812865497076,0.16129032258064516,3.7988795661918395,5.68155821005665,0.4144830829643127,0.30606810941783585
PKIS1,MAPKAPK2,0.5183790529675764,0.48162094703242364,0.36257309941520466,0.2,4.305454245080509,6.316280408683562,0.3808157738529279,0.27545479851392635
PKIS1,MET,0.6727122183022537,0.3272877816977463,0.29239766081871343,0.2,4.042800984009887,6.132922245282061,0.394378327081685,0.2785415216891983
PKIS1,PLK1,0.5658818729450166,0.4341181270549834,0.3333333333333333,0.2413793103448276,4.286242348861767,5.6332132138393,0.38021069262301743,0.3015266018875761
PKIS1,ROCK1,0.557733938128495,0.44226606187150497,0.3391812865497076,0.2,3.7980346223945554,5.739479299360975,0.4158457575971161,0.2959179848795993
PKIS1,SRC,0.4821969424244606,0.5178030575755395,0.391812865497076,0.16129032258064516,4.661305241714612,6.327642648722792,0.35363414300284896,0.27315959714661653
DAVIS,ABL1,0.5115443254241266,0.48845567457587336,0.30994152046783624,0.2857142857142857,5.646120004388569,6.242167893137748,0.29967541994074837,0.27163535290265434
DAVIS,AKT1,0.4959358910847591,0.5040641089152409,0.30994152046783624,0.2857142857142857,5.420696440835637,5.999802599946078,0.31247639690354323,0.27952100041016376
DAVIS,AKT2,0.4916338816201145,0.5083661183798855,0.2982456140350877,0.2857142857142857,5.8406915661947485,5.981338958642397,0.29743880349875834,0.28003552525143005
DAVIS,CDK2,0.5088851195737354,0.4911148804262646,0.2982456140350877,0.2413793103448276,5.329494963511655,5.850631900408567,0.3164961738861484,0.279569791449668
DAVIS,CSF1R,0.49146108123994464,0.5085389187600553,0.2982456140350877,0.2857142857142857,5.56148894409549,5.836364870011599,0.3098139692807345,0.2784812493370492
DAVIS,EGFR,0.5215907475267779,0.4784092524732221,0.29239766081871343,0.38461538461538464,5.430829740792833,5.537526576916454,0.310295130698988,0.29483431373927915
DAVIS,FGFR1,0.6053725318510617,0.39462746814893834,0.2631578947368421,0.3333333333333333,5.4243547892207005,5.5780104312443894,0.3114118914036861,0.29116183344257873
DAVIS,IGF1R,0.5353319777581992,0.4646680222418008,0.2807017543859649,0.3333333333333333,5.405646550413961,5.438627735908723,0.31330915859993136,0.2968303412816279
DAVIS,JAK2,0.5540604189617441,0.44593958103825593,0.26900584795321636,0.2413793103448276,5.0240132134456355,5.5319455573670355,0.325363913698054,0.294450909423698
DAVIS,KDR,0.5314847692941405,0.46851523070585954,0.30409356725146197,0.2413793103448276,5.926879941818972,5.561808832052429,0.29171408060818665,0.28906746706770914
DAVIS,KIT,0.489479876881192,0.510520123118808,0.30409356725146197,0.2413793103448276,5.953714835900583,5.830944084443325,0.2908424979984771,0.27694879719894966
DAVIS,LCK,0.5402975886828015,0.45970241131719847,0.2807017543859649,0.2413793103448276,5.327796014799593,6.353637042735043,0.3145349754867681,0.26659754215314907
DAVIS,MAP2K1,0.5724096593310275,0.4275903406689725,0.29239766081871343,0.3333333333333333,5.329728645677887,5.710474954778226,0.3172529696035748,0.2842152991594764
DAVIS,MAPK1,0.4918568651450789,0.508143134854921,0.29239766081871343,0.2857142857142857,5.843372777425694,6.079266979774217,0.2980285279960969,0.2714300444714098
DAVIS,MAPK14,0.5332439731644805,0.46675602683551953,0.27485380116959063,0.2857142857142857,5.239839448912242,5.500277164569723,0.31983421861235306,0.29343903204895644
DAVIS,MAPKAPK2,0.4854321165430677,0.5145678834569323,0.30994152046783624,0.2857142857142857,5.843372777425693,6.071621828553445,0.2980285279960969,0.2756832951367476
DAVIS,MET,0.5464908023081937,0.4535091976918063,0.27485380116959063,0.2413793103448276,5.074186370551481,5.418687232012624,0.33541505831293783,0.2985019781050416
DAVIS,PLK1,0.5202431445619812,0.4797568554380188,0.2982456140350877,0.2857142857142857,5.3488005611097975,5.460788267694448,0.31389040530998824,0.2959467887183148
DAVIS,ROCK1,0.5386547850685481,0.46134521493145186,0.30409356725146197,0.38461538461538464,5.198608881414367,5.688843357114971,0.32275560522082325,0.2849314449689438
DAVIS,SRC,0.5925601036630532,0.40743989633694677,0.27485380116959063,0.2857142857142857,5.379108049119928,6.0883724028739445,0.31407840176155993,0.27477910767488156
