panel,first_quintile,second_quintile,median_mw_separation,geometry_spearman,geometry_dissimilarity,sign_flip_fraction,top_positive_10pct_pair_jaccard,first_pr,second_pr,first_mean_absolute_correlation,second_mean_absolute_correlation
PKIS2,1,2,60.0270000000001,0.42079981804423805,0.579200181955762,0.3,0.22580645161290322,13.090735678128738,11.486560812272483,0.1391399940558171,0.16307007003445495
PKIS2,1,3,116.5030000000001,0.3714898065407848,0.6285101934592152,0.34210526315789475,0.3103448275862069,13.090735678128738,9.518477714129627,0.1391399940558171,0.19237082494910301
PKIS2,1,4,170.14900000000006,0.29426008301731643,0.7057399169826836,0.3736842105263158,0.22580645161290322,13.090735678128738,7.812865509099088,0.1391399940558171,0.2361700516677437
PKIS2,1,5,251.2370000000002,0.322597943375017,0.677402056624983,0.35789473684210527,0.22580645161290322,13.090735678128738,8.803866167342154,0.1391399940558171,0.20972799937082834
PKIS2,2,3,56.476,0.7681743626080911,0.23182563739190887,0.25263157894736843,0.4074074074074074,11.486560812272483,9.518477714129627,0.16307007003445495,0.19237082494910301
PKIS2,2,4,110.12199999999996,0.7173422211724775,0.2826577788275225,0.25263157894736843,0.3103448275862069,11.486560812272483,7.812865509099088,0.16307007003445495,0.2361700516677437
PKIS2,2,5,191.2100000000001,0.5407174130789453,0.4592825869210547,0.3105263157894737,0.22580645161290322,11.486560812272483,8.803866167342154,0.16307007003445495,0.20972799937082834
PKIS2,3,4,53.64599999999996,0.8291750318203889,0.17082496817961113,0.22105263157894736,0.46153846153846156,9.518477714129627,7.812865509099088,0.19237082494910301,0.2361700516677437
PKIS2,3,5,134.7340000000001,0.7226171886959983,0.27738281130400166,0.26842105263157895,0.4074074074074074,9.518477714129627,8.803866167342154,0.19237082494910301,0.20972799937082834
PKIS2,4,5,81.08800000000014,0.7905006845210759,0.2094993154789241,0.19473684210526315,0.5833333333333334,7.812865509099088,8.803866167342154,0.2361700516677437,0.20972799937082834
PKIS1,1,2,64.55550000000005,0.8007077029397228,0.19929229706027718,0.14736842105263157,0.35714285714285715,4.3142844422773905,4.709386478389197,0.37326684381391867,0.34857840038864313
PKIS1,1,3,112.64350000000007,0.7402406539909985,0.2597593460090015,0.20526315789473684,0.22580645161290322,4.3142844422773905,5.593818461221347,0.37326684381391867,0.299871169702537
PKIS1,1,4,173.14500000000015,0.6714963674456648,0.32850363255433523,0.2578947368421053,0.1875,4.3142844422773905,6.4640668753960355,0.37326684381391867,0.26321124191767636
PKIS1,1,5,269.7550000000002,0.41477778215171446,0.5852222178482855,0.3631578947368421,0.11764705882352941,4.3142844422773905,5.944910138608175,0.37326684381391867,0.2961081477014229
PKIS1,2,3,48.08800000000002,0.7493891797556721,0.2506108202443279,0.21578947368421053,0.3103448275862069,4.709386478389197,5.593818461221347,0.34857840038864313,0.299871169702537
PKIS1,2,4,108.5895000000001,0.7164866791761255,0.2835133208238745,0.22631578947368422,0.26666666666666666,4.709386478389197,6.4640668753960355,0.34857840038864313,0.26321124191767636
PKIS1,2,5,205.19950000000017,0.5084675038381294,0.49153249616187056,0.3526315789473684,0.22580645161290322,4.709386478389197,5.944910138608175,0.34857840038864313,0.2961081477014229
PKIS1,3,4,60.50150000000008,0.8305379504607944,0.16946204953920563,0.24210526315789474,0.46153846153846156,5.593818461221347,6.4640668753960355,0.299871169702537,0.26321124191767636
PKIS1,3,5,157.11150000000015,0.5801773193892236,0.41982268061077643,0.3157894736842105,0.26666666666666666,5.593818461221347,5.944910138608175,0.299871169702537,0.2961081477014229
PKIS1,4,5,96.61000000000007,0.6940221408670019,0.30597785913299813,0.24210526315789474,0.35714285714285715,6.4640668753960355,5.944910138608175,0.26321124191767636,0.2961081477014229
DAVIS,1,2,49.14150000000012,0.7153789818573586,0.2846210181426414,0.1736842105263158,0.11764705882352941,4.492321970153958,4.639862029648292,0.3548709719058021,0.3501129580865701
DAVIS,1,3,112.31350000000015,0.6159071793892538,0.38409282061074623,0.25263157894736843,0.22580645161290322,4.492321970153958,4.613317729014573,0.3548709719058021,0.35414361419629514
DAVIS,1,4,143.99500000000018,0.4870354118887506,0.5129645881112495,0.28421052631578947,0.22580645161290322,4.492321970153958,3.1512551474561397,0.3548709719058021,0.4566958701575276
DAVIS,1,5,210.233,0.499024749472444,0.500975250527556,0.3,0.22580645161290322,4.492321970153958,5.896731627341718,0.3548709719058021,0.2834745372332598
DAVIS,2,3,63.172000000000025,0.6318405087763038,0.3681594912236962,0.24736842105263157,0.26666666666666666,4.639862029648292,4.613317729014573,0.3501129580865701,0.35414361419629514
DAVIS,2,4,94.85350000000005,0.46111108419542735,0.5388889158045727,0.3105263157894737,0.1875,4.639862029648292,3.1512551474561397,0.3501129580865701,0.4566958701575276
DAVIS,2,5,161.09149999999988,0.3555949209848356,0.6444050790151644,0.3473684210526316,0.22580645161290322,4.639862029648292,5.896731627341718,0.3501129580865701,0.2834745372332598
DAVIS,3,4,31.681500000000028,0.595692120795367,0.40430787920463296,0.28421052631578947,0.35714285714285715,4.613317729014573,3.1512551474561397,0.35414361419629514,0.4566958701575276
DAVIS,3,5,97.91949999999986,0.5612329252450499,0.43876707475495014,0.32105263157894737,0.46153846153846156,4.613317729014573,5.896731627341718,0.35414361419629514,0.2834745372332598
DAVIS,4,5,66.23799999999983,0.6042807801106721,0.3957192198893279,0.2789473684210526,0.46153846153846156,3.1512551474561397,5.896731627341718,0.4566958701575276,0.2834745372332598
