panel,score_preprocessing,matched_ligands,low_quartile_ligands,high_quartile_ligands,targets,direction_spearman,sign_agreement_fraction,target_label_qap_p_positive,qap_null_interval_95,qap_permutations
PKIS2,positive_scores_clipped_to_zero_primary,154,39,39,20,0.06450944114212233,0.5368421052631579,0.17888211178882113,"[-0.14116189251488231, 0.14282932462045156]",10000
PKIS2,released_scores_unclipped_sensitivity,154,39,39,20,0.06450944114212233,0.5368421052631579,0.18548145185481452,"[-0.14210132661496674, 0.1425287476982158]",10000
DAVIS,positive_scores_clipped_to_zero_primary,59,15,15,20,-0.08435836537241884,0.47368421052631576,0.8819118088191181,"[-0.1395156302623925, 0.13960551465924848]",10000
DAVIS,released_scores_unclipped_sensitivity,59,15,15,20,-0.08435836537241884,0.47368421052631576,0.8823117688231177,"[-0.13719171401453023, 0.1353446005939805]",10000
