dataset,descriptor,descriptor_family,transformation,extreme_fraction_per_tail,low_threshold_inclusive,high_threshold_inclusive,low_ligands,high_ligands,low_support_fraction,high_support_fraction,combined_support_fraction,low_descriptor_median,high_descriptor_median,geometry_spearman,sign_flip_fraction,low_pr,high_pr
Docking-44,heavy_atoms,size_related,raw,0.25,15,24,3545,3523,0.28021500276657973,0.2784760098015967,0.55869101256817644,12,27,0.25284898435852488,0.025369978858350951,1.2133180872333267,3.1841525861525626
Docking-44,heavy_atoms,size_related,row_centered_residual,0.25,15,24,3545,3523,0.28021500276657973,0.2784760098015967,0.55869101256817644,12,27,0.20732733318868235,0.42389006342494717,14.542564795363111,9.8950105036996412
Docking-44,molecular_weight,size_related,raw,0.25,218.29999999999995,349.33300000000008,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,178.054,413.60200000000026,0.2272436943147387,0.02748414376321353,1.1872844551689294,2.9949607528316653
Docking-44,molecular_weight,size_related,row_centered_residual,0.25,218.29999999999995,349.33300000000008,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,178.054,413.60200000000026,0.20496480945389367,0.42494714587737842,13.62457616857832,10.147009176104564
Docking-44,labute_asa,size_related,raw,0.25,90.949700635544346,146.51799683145404,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,74.015172753542657,170.16221802409962,0.21725920584494784,0.02748414376321353,1.1933560019640785,3.112729459999596
Docking-44,labute_asa,size_related,row_centered_residual,0.25,90.949700635544346,146.51799683145404,3163,3163,0.25001976128369297,0.25001976128369297,0.50003952256738593,74.015172753542657,170.16221802409962,0.200058200573905,0.43974630021141647,14.161188065968322,10.157118282560038
Docking-44,tpsa,other_coarse,raw,0.25,28.375,67.86999999999999,3163,3167,0.25001976128369297,0.25033594182278079,0.50035570310647381,17.07,91.460000000000008,0.87258771750311737,0.02748414376321353,1.3958385618185729,2.9183979098708659
Docking-44,tpsa,other_coarse,row_centered_residual,0.25,28.375,67.86999999999999,3163,3167,0.25001976128369297,0.25033594182278079,0.50035570310647381,17.07,91.460000000000008,0.75305974173389001,0.20824524312896406,10.471918699626206,8.6178873519524313
Docking-44,clogp,other_coarse,raw,0.25,1.5392199999999998,3.6399000000000026,3164,3163,0.25009880641846494,0.25001976128369297,0.5001185677021579,0.67220000000000002,4.4431000000000038,0.95831373263165209,0.022198731501057084,1.6560191096776116,2.3944990870133345
Docking-44,clogp,other_coarse,row_centered_residual,0.25,1.5392199999999998,3.6399000000000026,3164,3163,0.25009880641846494,0.25001976128369297,0.5001185677021579,0.67220000000000002,4.4431000000000038,0.88724656536350732,0.13107822410147993,8.4429764619323251,9.6546407941041519
Docking-44,rotatable_bonds,other_coarse,raw,0.25,2,7,3736,3168,0.29531262350802306,0.25041498695755277,0.54572761046557583,1,9,0.88491343958056445,0.040169133192389003,1.4519104136909284,2.828926946970078
Docking-44,rotatable_bonds,other_coarse,row_centered_residual,0.25,2,7,3736,3168,0.29531262350802306,0.25041498695755277,0.54572761046557583,1,9,0.78857265183239489,0.20295983086680761,8.7356588411347165,9.309312008980438
Docking-44,ring_count,other_coarse,raw,0.25,1,3,4537,4349,0.35862777646035887,0.34376729112323134,0.70239506758359027,1,3,0.74342421574071071,0.077167019027484143,1.4705268304402745,4.1937766649921544
Docking-44,ring_count,other_coarse,row_centered_residual,0.25,1,3,4537,4349,0.35862777646035887,0.34376729112323134,0.70239506758359027,1,3,0.703229858992242,0.22621564482029599,12.422420018299528,9.3859499586762176
DOCKSTRING-58,heavy_atoms,size_related,raw,0.25,23,32,4367,3817,0.29113333333333336,0.25446666666666667,0.54559999999999997,21,35,0.40900614890647158,0.010889292196007259,1.8532666635547803,3.1289222468959439
DOCKSTRING-58,heavy_atoms,size_related,row_centered_residual,0.25,23,32,4367,3817,0.29113333333333336,0.25446666666666667,0.54559999999999997,21,35,0.36094194859500778,0.36297640653357532,20.027733563531449,23.77652218675296
DOCKSTRING-58,molecular_weight,size_related,raw,0.25,325.36800000000005,449.49125000000026,3751,3750,0.25006666666666666,0.25,0.50006666666666666,286.31000000000006,498.57300000000021,0.40947327442193726,0.017543859649122806,1.7509677205005809,3.080338511406147
DOCKSTRING-58,molecular_weight,size_related,row_centered_residual,0.25,325.36800000000005,449.49125000000026,3751,3750,0.25006666666666666,0.25,0.50006666666666666,286.31000000000006,498.57300000000021,0.35059784207093159,0.3666061705989111,19.552064499216343,23.799697948677796
DOCKSTRING-58,labute_asa,size_related,raw,0.25,135.49310588940739,186.31782317299945,3750,3750,0.25,0.25,0.5,119.98869418753519,206.8504500925211,0.3671518318424023,0.013309134906231096,1.765735872409854,3.1199974344186718
DOCKSTRING-58,labute_asa,size_related,row_centered_residual,0.25,135.49310588940739,186.31782317299945,3750,3750,0.25,0.25,0.5,119.98869418753519,206.8504500925211,0.32203190302999185,0.37749546279491836,20.056156718030277,23.617292901913153
DOCKSTRING-58,tpsa,other_coarse,raw,0.25,56.790000000000006,97.392500000000013,3755,3750,0.25033333333333335,0.25,0.5003333333333333,44.120000000000005,115.13,0.85549712714659654,0.0205686630369026,2.0389765795407309,2.5241320580174889
DOCKSTRING-58,tpsa,other_coarse,row_centered_residual,0.25,56.790000000000006,97.392500000000013,3755,3750,0.25033333333333335,0.25,0.5003333333333333,44.120000000000005,115.13,0.78710359496444848,0.19721718088324258,17.122871287503752,19.610748055910232
DOCKSTRING-58,clogp,other_coarse,raw,0.25,2.4628749999999995,4.338650000000003,3750,3750,0.25,0.25,0.5,1.8009499999999996,5.067720000000004,0.86300284193593835,0.017543859649122806,1.9187885260727513,2.9652014846651733
DOCKSTRING-58,clogp,other_coarse,row_centered_residual,0.25,2.4628749999999995,4.338650000000003,3750,3750,0.25,0.25,0.5,1.8009499999999996,5.067720000000004,0.82211110562093115,0.17543859649122806,18.687685027411217,19.398436438802907
DOCKSTRING-58,rotatable_bonds,other_coarse,raw,0.25,4,7,6154,4352,0.41026666666666667,0.29013333333333335,0.70040000000000002,3,8,0.89681362591267966,0.024803387779794312,2.1320475879845131,2.4019933390640928
DOCKSTRING-58,rotatable_bonds,other_coarse,row_centered_residual,0.25,4,7,6154,4352,0.41026666666666667,0.29013333333333335,0.70040000000000002,3,8,0.83141471470799533,0.18451300665456746,17.268901184725092,18.445332108795981
DOCKSTRING-58,ring_count,other_coarse,raw,0.25,3,4,8376,6624,0.55840000000000001,0.44159999999999999,1,3,4,0.77546368612349281,0.016333938294010888,2.1952402472600712,3.8285875598382844
DOCKSTRING-58,ring_count,other_coarse,row_centered_residual,0.25,3,4,8376,6624,0.55840000000000001,0.44159999999999999,1,3,4,0.80279161674781507,0.18209316394434361,19.969844178089158,22.044407524083532
