dataset,descriptor_family,geometry_spearman_minimum,geometry_spearman_median,geometry_spearman_maximum
DOCKSTRING-58,other_coarse,0.78710359496444848,0.81245136118437311,0.83141471470799533
DOCKSTRING-58,size_related,0.32203190302999185,0.35059784207093159,0.36094194859500778
Docking-44,other_coarse,0.703229858992242,0.77081619678314239,0.88724656536350732
Docking-44,size_related,0.200058200573905,0.20496480945389367,0.20732733318868235
