reference_support_seed,reference_support_size,raw_roc_auc,centered_roc_auc,centered_minus_raw_roc_auc,raw_average_precision,centered_average_precision,centered_minus_raw_average_precision,analysis,held_out_experimental_panel,endpoint_training_panels,positive_pairs,held_out_experimental_roc_auc,raw_docking_roc_auc,centered_docking_roc_auc,raw_docking_average_precision,centered_docking_average_precision
11.0,15000.0,0.5923809523809523,0.7108571428571429,0.11847619047619051,0.23396196059430222,0.30743211430571477,0.07347015371141255,reference_support,,,,,,,,
29.0,15000.0,0.5904761904761905,0.7059047619047619,0.11542857142857144,0.23032649952159875,0.27912187290631846,0.048795373384719704,reference_support,,,,,,,,
47.0,15000.0,0.6007619047619047,0.7146666666666667,0.11390476190476195,0.23702945789767618,0.31620223809362163,0.07917278019594545,reference_support,,,,,,,,
71.0,15000.0,0.5904761904761905,0.7081904761904761,0.11771428571428566,0.23214452364955704,0.2647440668114263,0.03259954316186928,reference_support,,,,,,,,
97.0,15000.0,0.6011428571428571,0.7116190476190476,0.1104761904761905,0.239713562597351,0.30651776583591633,0.06680420323856534,reference_support,,,,,,,,
,,,,0.09602954755309323,,,0.06769750223095644,leave_one_panel_out,DAVIS,PKIS2+PKIS1,19.0,0.9307479224376731,0.6112650046168052,0.7072945521698984,0.24300798337265095,0.3107054856036074
,,,,0.06986765158510311,,,0.02676453847064736,leave_one_panel_out,PKIS2,DAVIS+PKIS1,19.0,0.9812249923053247,0.6565096952908587,0.7263773468759618,0.26827906922904043,0.2950436076996878
,,,,0.050784856879039775,,,-0.01280820175975439,leave_one_panel_out,PKIS1,DAVIS+PKIS2,19.0,0.9088950446291166,0.6888273314866112,0.739612188365651,0.31398939207325754,0.30118119031350316
