experimental_upper_tail_fraction,positive_pairs,raw_roc_auc,centered_roc_auc,centered_minus_raw_roc_auc,raw_average_precision,centered_average_precision,centered_minus_raw_average_precision
0.05,9,0.6261510128913443,0.7041129527317372,0.0779619398403929,0.19221647992566773,0.20899350297253688,0.01677702304686915
0.075,14,0.591314935064935,0.695211038961039,0.10389610389610393,0.23979856894872892,0.29667356936783623,0.05687500041910731
0.1,15,0.5965714285714285,0.7104761904761905,0.11390476190476195,0.2355064642070323,0.3014656490938134,0.0659591848867811
0.125,21,0.6475063398140322,0.7588052972668358,0.1112989574528036,0.2580406704286188,0.343058466261994,0.08501779583337521
0.15,24,0.6606425702811245,0.7635542168674698,0.10291164658634533,0.3109468156719168,0.35366939212151965,0.04272257644960287
0.2,35,0.6431336405529954,0.7094930875576037,0.06635944700460827,0.3289645511965476,0.37765739012330113,0.04869283892675352
0.25,47,0.653474185389079,0.6537717601547389,0.000297574765659947,0.39924421334810023,0.3867803981726229,-0.012463815175477344
0.3,56,0.6499200426439232,0.6529850746268657,0.003065031982942501,0.43533169811453404,0.43293430616783196,-0.0023973919467020766
