analysis,dataset,support,transform,deleted_target,estimate
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,KIT,0.2548579126699821
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,LCK,0.38552314468544835
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,MAP2K1,0.3262703005331829
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,MAPK1,0.2806693872552236
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,MAPK14,0.3182537495571389
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,MAPKAPK2,0.2738530444785612
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,MET,0.33205964299929586
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,PLK1,0.27223993666539825
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,PTK2,0.2995385496901066
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,ROCK1,0.2818503501336238
geometry_concordance,DAVIS,full_experimental_panel,rank_normal_before_center,SRC,0.4041823581641714
geometry_concordance,PKIS2,full_experimental_panel,raw,ABL1,-0.2467031452977995
geometry_concordance,PKIS2,full_experimental_panel,raw,AKT1,-0.24811155287870637
geometry_concordance,PKIS2,full_experimental_panel,raw,AKT2,-0.24432547336928712
geometry_concordance,PKIS2,full_experimental_panel,raw,CDK2,-0.19150756472332664
geometry_concordance,PKIS2,full_experimental_panel,raw,CSF1R,-0.18865400849418487
geometry_concordance,PKIS2,full_experimental_panel,raw,EGFR,-0.2177021961535602
geometry_concordance,PKIS2,full_experimental_panel,raw,FGFR1,-0.16277080134892208
geometry_concordance,PKIS2,full_experimental_panel,raw,IGF1R,-0.20795881501309996
geometry_concordance,PKIS2,full_experimental_panel,raw,JAK2,-0.220870675816942
geometry_concordance,PKIS2,full_experimental_panel,raw,KDR,-0.20498278855953148
geometry_concordance,PKIS2,full_experimental_panel,raw,KIT,-0.22266748896674501
geometry_concordance,PKIS2,full_experimental_panel,raw,LCK,-0.20838221207468935
geometry_concordance,PKIS2,full_experimental_panel,raw,MAP2K1,-0.1927287678183242
geometry_concordance,PKIS2,full_experimental_panel,raw,MAPK1,-0.2330669605952053
geometry_concordance,PKIS2,full_experimental_panel,raw,MAPK14,-0.23890704072572358
geometry_concordance,PKIS2,full_experimental_panel,raw,MAPKAPK2,-0.16438390916208498
geometry_concordance,PKIS2,full_experimental_panel,raw,MET,-0.19101943340025457
