dataset,contrast,after_minus_before,murcko_low,murcko_high,murcko_clusters,butina_low,butina_high,butina_clusters,target_loo_min,target_loo_median,target_loo_max
DAVIS,absolute,0.016835464762583546,0.006404470882275065,0.02675652353245907,59,0.005957742691726004,0.0269836142601347,57,0.01370923436693261,0.016965799646217583,0.020753272776948162
DAVIS,target_centered,0.01792659784462704,0.007644874244671798,0.028450838542246445,59,0.007318135642735593,0.029033661602510173,57,0.012807793293212466,0.018581539946961212,0.022028521321788785
DAVIS,column_z_original_sd,0.020860289949539864,0.008580881001473879,0.032947895746310255,59,0.007467352645077681,0.033629256493039515,57,0.014691467926070012,0.02148474034568948,0.024754174557554576
DAVIS,column_z_refit_sd,0.011203023685730468,-0.00045431703877862585,0.022519987446596383,59,-0.00030628559478858725,0.022445535828305205,57,0.006894028139557973,0.01139872281892318,0.015423772552807136
PKIS2,absolute,0.006170340990546045,-0.0005358318953632405,0.012511174560057533,111,-0.0007015996975984141,0.012907528312918526,103,0.002362847304286375,0.006366822891049506,0.007559903396997525
PKIS2,target_centered,0.01030745730275653,0.0028876213857546985,0.017998275347881083,111,0.0029883708185537675,0.017692926473929615,103,0.007179830423205913,0.010591815754021239,0.011649537089449269
PKIS2,column_z_original_sd,0.011525638919745496,0.00399682926015773,0.019153163008746508,111,0.004179581257030848,0.018816571009481742,103,0.00869626678871449,0.012025947995827568,0.013080175073368228
PKIS2,column_z_refit_sd,0.005767383446395976,-0.0017043327965698678,0.012998978106019052,111,-0.0010564443471118116,0.012495796671694483,103,0.0014737136780310633,0.005657184879849453,0.008550526687780446
