support_seed,deterministic_groupkfold,repeated_partition_mean,repeated_partition_minimum,repeated_partition_maximum,repeated_partition_sd
71,0.53600245590432161,0.53562778080180085,0.53509219661568841,0.5360057498891807,0.00032499989453623531
1701,0.5366251307193709,0.53664620334975899,0.53619883661198686,0.53751494105100706,0.00039217726722977028
2701,0.54394265275475417,0.54374352542425652,0.54348321433526536,0.5439814252346159,0.0001661105227669075
3701,0.54533348581199637,0.54527936619368056,0.54484451753529139,0.5460205271719859,0.00035083677686855954
4701,0.52761630684126937,0.52719404662057257,0.52675439668290036,0.52757905393824023,0.00021698708786975642
