dataset,support_seed,chemical_groups,blocks,minimum_block_ligands,median_block_ligands,maximum_block_ligands,block_assignment_seed,repeats,draw_seed,point,bootstrap_mean,bootstrap_median,conditional_coarsened_sensitivity_interval_95,minimum,maximum,conditional_coarsened_sensitivity_low95,conditional_coarsened_sensitivity_high95
Docking-44,,8150,512,24,25,42,20260901,5000,20360901,0.46874727629802582,0.46647468921169183,0.46832909310973764,"[0.4241243333350197, 0.4999786347502759]",0.35893004939183548,0.51662981775318473,0.4241243333350197,0.49997863475027587
DOCKSTRING-58,71,11905,512,28,29,257,21260901,5000,21360901,0.53600245590432161,0.53453927077770924,0.53451493518407367,"[0.5191886133048915, 0.5499581863878595]",0.5056669336029167,0.56469608549755479,0.51918861330489152,0.54995818638785954
DOCKSTRING-58,1701,11844,512,28,29,286,22260901,5000,22360901,0.5366251307193709,0.53509320575069863,0.53509503686084559,"[0.5210064334322153, 0.5494242120217777]",0.5073349056208809,0.56533294140724633,0.52100643343221531,0.54942421202177771
DOCKSTRING-58,2701,11846,512,28,29,285,23260901,5000,23360901,0.54394265275475417,0.54244567098547825,0.54254731225208719,"[0.5279497274900858, 0.5569657901804754]",0.51441832036818336,0.5690710778130379,0.52794972749008584,0.55696579018047543
DOCKSTRING-58,3701,11849,512,28,29,274,24260901,5000,24360901,0.54533348581199637,0.54366006423654656,0.54361746867946248,"[0.5286715454032542, 0.5586812992623849]",0.50891950083766591,0.56820947415304224,0.52867154540325423,0.55868129926238486
DOCKSTRING-58,4701,11848,512,28,29,269,25260901,5000,25360901,0.52761630684126937,0.52599465738793638,0.5261170130318682,"[0.5102762138391318, 0.5412318057901458]",0.49476873342525929,0.55700364637194766,0.5102762138391318,0.54123180579014585
