dataset,calibration_ligands,repetition,geometry_spearman,oas_geometry_spearman,empirical_pr,oas_pr,reference_top10_pair_roc_auc,reference_top10_pair_average_precision,experimental_pair_roc_auc,experimental_pair_average_precision
DOCKSTRING-58,50,0,0.7293656819623641,0.7333789453396699,11.784441322795066,16.837752316842327,0.9196044433281209,0.6536717127633201,0.7146666666666667,0.2635836282378033
DOCKSTRING-58,50,1,0.7156971894214967,0.7157732729006396,13.441863476403885,19.75553779060156,0.8507871431928116,0.513164006312507,0.6944761904761905,0.15773490864772508
DOCKSTRING-58,50,2,0.8207766624505874,0.8218549319594987,12.31037416686987,17.12487546687557,0.9371460286337009,0.6805017717364072,0.6815238095238095,0.16266192368640311
DOCKSTRING-58,50,3,0.7083222833794259,0.7129169847970293,14.15249270907097,22.917005126110368,0.9075927111269557,0.5347160410631195,0.7047619047619048,0.1893180033297676
DOCKSTRING-58,50,4,0.767235540938818,0.768297614446442,13.33550578562619,19.079370911592292,0.9279093509208319,0.6446887256024258,0.6521904761904762,0.21634626021823272
DOCKSTRING-58,50,5,0.7647826172229031,0.7685396591159381,13.948368848445543,21.069088628217578,0.9107607295354924,0.5959800380601772,0.6289523809523809,0.21498333021240074
DOCKSTRING-58,50,6,0.7819032624639428,0.7830808360968866,13.123601863239283,18.824248687487923,0.9130861036614515,0.63497091431396,0.7131428571428572,0.22260548763196944
DOCKSTRING-58,50,7,0.7582408939563574,0.7599934840851252,13.536805123731133,20.26366821788397,0.9207347209956166,0.6016772607263225,0.7436190476190476,0.18110194772492372
DOCKSTRING-58,50,8,0.7315752299397792,0.7338647642713194,11.318458409283515,16.0365475547269,0.8722705212241029,0.588974574739724,0.6377142857142857,0.19371878353282793
DOCKSTRING-58,50,9,0.8156333666554015,0.8157498391784364,11.787694278482139,16.607282932272966,0.9410513607894929,0.7322801213403117,0.7794285714285715,0.23532844806638148
DOCKSTRING-58,50,10,0.8079643501568888,0.8089339768041486,11.229994141960864,15.148393721217245,0.9412498683368309,0.7252217890093311,0.7539047619047619,0.24563764575048744
DOCKSTRING-58,50,11,0.808469093648441,0.8084562346185479,11.766389460607126,16.45500245294223,0.9402937911700602,0.7448173743919453,0.7531428571428571,0.29053849875469223
DOCKSTRING-58,50,12,0.7968958259328598,0.7973825747530345,11.960317640704258,16.749086105354735,0.9127579585321784,0.5943067923560689,0.7512380952380953,0.23464436741914968
DOCKSTRING-58,50,13,0.7762516603757406,0.7797194431736115,13.823688057501283,21.913467769668838,0.9039628588327756,0.6485524501401434,0.6567619047619048,0.26046260595937715
DOCKSTRING-58,50,14,0.7609562295572974,0.7621836664697942,13.605825129802712,19.523833834020873,0.9055306633393021,0.5517114577834812,0.6655238095238095,0.22370763680245837
DOCKSTRING-58,50,15,0.794917618279602,0.7982629267882132,12.929481809179544,19.070158659412552,0.9460545612172969,0.6942857269584535,0.6803809523809524,0.2263085975097597
DOCKSTRING-58,50,16,0.7761707839854555,0.7781791386247048,13.536851291476268,19.850925901103434,0.9188306690109462,0.6128747706746216,0.7142857142857143,0.2016081221838279
DOCKSTRING-58,50,17,0.8163799183590819,0.818106662900494,11.476726022068265,15.181086398397186,0.9474400628742272,0.7195743302293869,0.7577142857142857,0.28420440975595007
DOCKSTRING-58,50,18,0.6125634682793052,0.6128770851401842,11.559179789011038,17.082298660054047,0.8105346740019932,0.5102502067817329,0.5935238095238096,0.1351651351563117
DOCKSTRING-58,50,19,0.7400204243903894,0.7411465114240976,11.263058388285366,15.492773041785856,0.8855138104536505,0.5814834005446938,0.7485714285714286,0.2801864099258129
DOCKSTRING-58,50,20,0.7894541459241968,0.7916402739948953,12.006768887195785,18.00962302718064,0.9053686163618833,0.6136746975308776,0.6110476190476191,0.2894702960925896
DOCKSTRING-58,50,21,0.7695940411170455,0.7710528900879573,12.169982668987576,17.783640024854947,0.9430283339140016,0.7212947504210658,0.7013333333333334,0.24895545408678893
DOCKSTRING-58,50,22,0.8192712792010436,0.8199727339680695,12.7564314134852,19.4857657976457,0.9339739590507288,0.6481076327957312,0.7550476190476191,0.22947956493002453
DOCKSTRING-58,50,23,0.7786772985054974,0.7831260446201642,12.251497973791984,17.57109437850575,0.9002317271777088,0.580863148490086,0.6807619047619048,0.21270018340771488
DOCKSTRING-58,50,24,0.7175025387683677,0.719736696909812,14.551158819304945,21.814811390675757,0.9133372764764506,0.5942043931450064,0.6643809523809524,0.24974899376382426
DOCKSTRING-58,50,25,0.7649092680400538,0.7673702578747197,12.1014040385996,18.268874088087678,0.9430607433094854,0.7187567001790961,0.6476190476190476,0.23291806538266094
DOCKSTRING-58,50,26,0.7995694254799582,0.8009819075521725,12.67161566945785,19.066399737375157,0.9368421905510408,0.6592965391441254,0.7318095238095238,0.22761731415325798
DOCKSTRING-58,50,27,0.7723018685323495,0.7735752631925927,13.497793420264358,19.9493605474888,0.920617236936988,0.6286433050553214,0.7127619047619047,0.2640389542522875
DOCKSTRING-58,50,28,0.8137597953726632,0.814973411484849,12.901511954275614,18.56517852378685,0.9317539154600919,0.6434626717549166,0.6902857142857143,0.26012444725328815
DOCKSTRING-58,50,29,0.8058971521717565,0.805695087395201,11.444890880023312,15.970284037498073,0.9320172417983974,0.6630916112634845,0.692952380952381,0.23968279022623987
DOCKSTRING-58,50,30,0.8036445902079836,0.8046834962072053,13.35592806284842,18.642434152101906,0.9249357888851978,0.6255492343301253,0.688,0.22678594583228595
DOCKSTRING-58,50,31,0.7451002699062551,0.7471571833242974,13.921661945578796,21.39027108339572,0.8948112557830515,0.5094806337280378,0.6255238095238095,0.2293688531013912
DOCKSTRING-58,50,32,0.7354652405782883,0.7360739137250807,14.457878686838962,21.904965560930354,0.9088728822485639,0.6297045461229962,0.7653333333333333,0.41252750208891753
DOCKSTRING-58,50,33,0.7245873381883043,0.7252496951280764,13.443121567887554,18.95107595925179,0.9286588181913937,0.6780556887883915,0.6620952380952381,0.2090029469001236
DOCKSTRING-58,50,34,0.7596130268370451,0.7629213629778889,12.574831505558318,17.655391290999063,0.9274799264306722,0.696199307648984,0.6045714285714285,0.20902401372491689
DOCKSTRING-58,50,35,0.7398505018749182,0.7403433507638192,15.03006314539301,22.22002958407164,0.8877946216608195,0.5546529046490198,0.5942857142857143,0.14895776285969017
DOCKSTRING-58,50,36,0.7199765709538074,0.7208014538100378,13.61433093766322,18.881968322697418,0.9231451697847206,0.5980123582112619,0.6426666666666667,0.18684476627495208
DOCKSTRING-58,50,37,0.8240299624748533,0.8268579341444551,12.524069155572311,18.074711517985627,0.9388637265943397,0.6855999443069966,0.6068571428571429,0.26009548059186977
DOCKSTRING-58,50,38,0.6835468515911357,0.6851752484652841,14.598827442015528,21.09347464038817,0.8664206253392859,0.49106189037001224,0.736,0.22113815356479777
DOCKSTRING-58,50,39,0.7901662519000744,0.7911393775850137,12.71615918241105,19.28393242470593,0.9235016731350418,0.6206329868983704,0.6495238095238095,0.20282274710058745
DOCKSTRING-58,50,40,0.7408389494659307,0.7434154925624036,12.9116621374117,17.919461065452676,0.9278728903509127,0.6561255063550081,0.7062857142857143,0.16154782023305989
DOCKSTRING-58,50,41,0.6812027885964698,0.6821619340716368,13.909442852685507,20.111988093137292,0.8761555975077174,0.5482932974310307,0.6521904761904762,0.1491963191893033
DOCKSTRING-58,50,42,0.768672750075333,0.7723102428427263,13.270149438976842,20.40199264856954,0.9298498634754215,0.6693576810170795,0.6548571428571428,0.25244172813008514
DOCKSTRING-58,50,43,0.7535577070035075,0.7548512191377902,14.082203299967983,20.77285675126396,0.8970677599436077,0.6017324399165191,0.7371428571428571,0.24463240997177313
DOCKSTRING-58,50,44,0.7830919788182447,0.7845609954559748,13.351004506560425,20.376896740571162,0.9144229912251561,0.5787670604891759,0.7348571428571429,0.17991968182425994
DOCKSTRING-58,50,45,0.7583730443999294,0.7630490977793778,12.611043626578027,18.312210828426227,0.9167645700488571,0.6058868200869154,0.6350476190476191,0.2947208570422016
DOCKSTRING-58,50,46,0.7898520877333776,0.7940665258510791,12.505144122534936,17.433038051016165,0.9421168196660212,0.7215143253598265,0.5824761904761905,0.23619393999904587
DOCKSTRING-58,50,47,0.7761474225288747,0.77739934739148,13.079601298906827,18.314676005322493,0.9620242908419151,0.7708063185984452,0.6510476190476191,0.2549092981146375
DOCKSTRING-58,50,48,0.8093982170083615,0.8127191943195012,12.584006018951008,18.00332607226928,0.9358739598609637,0.6459206568739821,0.6815238095238095,0.21068900239809435
DOCKSTRING-58,50,49,0.8451645034173961,0.8471055925775468,11.681176843169986,16.370968409864624,0.9487202339958354,0.7497927871837564,0.7413333333333333,0.2998888185249591
DOCKSTRING-58,50,50,0.6766226864287143,0.6789462971894713,15.743109009421454,25.35569138630599,0.8466670987919398,0.43069494864653374,0.5969523809523809,0.16092760091817984
DOCKSTRING-58,50,51,0.7553940083541504,0.7608532643292992,12.890157286020395,19.327560480622665,0.932843681383233,0.6774522895038527,0.6281904761904762,0.13673104965282057
DOCKSTRING-58,50,52,0.7675410916809456,0.7711015763943195,13.225286078481739,20.322055870483034,0.9370123398773305,0.6514718147504954,0.6217142857142857,0.19699432353355123
DOCKSTRING-58,50,53,0.7764140800192243,0.7771876595970997,14.101414078083865,20.76896613525633,0.9427163934824706,0.6607958748129292,0.6460952380952381,0.17731628721240197
DOCKSTRING-58,50,54,0.7587268351019273,0.7611794506262165,13.86669506446864,19.490190186302208,0.9281969843057503,0.6663807819850108,0.708952380952381,0.3851038857770063
DOCKSTRING-58,50,55,0.750279207000205,0.7546007762464981,12.885928321542371,19.698004712469555,0.917955615332885,0.6367718524583218,0.6548571428571428,0.18183277531395048
DOCKSTRING-58,50,56,0.8070577035310381,0.8082057970409043,11.865591927967094,16.67314806023027,0.9225334424449648,0.6279659863464824,0.6430476190476191,0.2533427021090546
DOCKSTRING-58,50,57,0.7536925195850862,0.7567766649161204,12.703231243605881,18.630145951302122,0.8829048541172085,0.5539910268041098,0.5394285714285715,0.09695533235503513
DOCKSTRING-58,50,58,0.7871821652311907,0.790912508696251,13.038932139733017,17.819380472046873,0.9390338759206294,0.7044129087174325,0.668952380952381,0.2985862126922047
DOCKSTRING-58,50,59,0.7651445112391932,0.7667637872353202,13.87778870362697,21.371908368931038,0.9227360011667383,0.6107985259586957,0.6228571428571429,0.21606942670922363
DOCKSTRING-58,50,60,0.7644246340520683,0.7668896569461097,12.958868174425163,20.106462645754053,0.9026300224435063,0.6379940633192506,0.6796190476190476,0.20141410829719877
DOCKSTRING-58,50,61,0.7939487435136356,0.7948014672323145,12.620546555285511,17.783165051373043,0.9130293872193549,0.5746127578131359,0.7363809523809524,0.25261773939628573
DOCKSTRING-58,50,62,0.7609411441085921,0.7634801090813439,13.651190183265692,21.005334224120194,0.9279377091418802,0.6439678300533758,0.6723809523809524,0.2527420695822182
DOCKSTRING-58,50,63,0.7953729740631613,0.7942280528015786,10.795698664008816,14.880536285009512,0.9187658502199788,0.5977765494573475,0.7352380952380952,0.21024456733803526
DOCKSTRING-58,50,64,0.7784552331551743,0.7813215534275609,12.994815792253837,19.136877770919725,0.929525769520584,0.6180338246974021,0.7394285714285714,0.26275247880058006
DOCKSTRING-58,50,65,0.738391775117927,0.7419629482356935,13.559808813148504,20.26584732503032,0.9340063684462125,0.7056786352255286,0.6571428571428571,0.20952688979505338
DOCKSTRING-58,50,66,0.7494335982571573,0.7518269108049491,13.460154056753723,21.329380360384892,0.9094927119371906,0.5810948091836283,0.6594285714285715,0.2476127183332571
DOCKSTRING-58,50,67,0.7634968311338538,0.7692332523396884,13.441089913596377,20.349472015411738,0.955785482211293,0.74773750992277,0.6297142857142857,0.2763884592200079
DOCKSTRING-58,50,68,0.8052027193915089,0.8071641651398915,12.276818716241305,17.92658275128648,0.9334189481530696,0.68302634156794,0.6068571428571429,0.27881559870212064
DOCKSTRING-58,50,69,0.7118011398212215,0.7146801411162693,12.998064954118343,18.480054845022504,0.890391424473955,0.5022691496084356,0.7554285714285714,0.19435461892017944
DOCKSTRING-58,50,70,0.7885255353313775,0.7907421823434774,12.839645073397172,19.19015259407523,0.915622138858055,0.598460284399399,0.6506666666666666,0.21033383096554525
DOCKSTRING-58,50,71,0.4425390078007604,0.4409452107502276,7.300384853776408,9.840163615794994,0.7181759992221745,0.3598732498440893,0.6293333333333333,0.21224491636883375
DOCKSTRING-58,50,72,0.7334007738085961,0.7345542633287339,12.767528155257068,17.423834101759503,0.9225982612359322,0.6324048303752091,0.6998095238095238,0.20387264310659733
DOCKSTRING-58,50,73,0.8047872239437943,0.8063566526013145,12.223103616015733,17.33262954125108,0.9363925101887037,0.7135184871207589,0.6986666666666667,0.23801166831362675
DOCKSTRING-58,50,74,0.7627022493594277,0.7648415083916249,12.981074717136355,18.629975424752512,0.9032417497832622,0.5826760024083807,0.6114285714285714,0.20601903570550675
DOCKSTRING-58,50,75,0.763619642839807,0.7661346060613077,12.621571486723404,19.405888369589192,0.9090025198304988,0.5915752885596666,0.68,0.21526955759739358
DOCKSTRING-58,50,76,0.7569277877424335,0.7606144795832904,12.31444384664503,18.78441981575379,0.9120935659247615,0.605652324707782,0.6243809523809524,0.21609726924993541
DOCKSTRING-58,50,77,0.654189404721552,0.6605578631875841,11.86381783009389,19.14238381404768,0.8972054998744136,0.6307022471478063,0.6308571428571429,0.20885714260428254
DOCKSTRING-58,50,78,0.7584193501916667,0.7615472853017712,14.006520384619016,21.939657501558223,0.9285777947026843,0.6446544376376251,0.6472380952380953,0.215086243935089
DOCKSTRING-58,50,79,0.7600344496599027,0.7621647658213107,13.862554678005196,22.34125087948457,0.9260215036339035,0.586125264424116,0.6773333333333333,0.25826491768701254
DOCKSTRING-58,50,80,0.749822541402237,0.749411894658976,14.60545897923389,20.495253583166228,0.8955566718791778,0.5463003191431862,0.664,0.1656845918460663
DOCKSTRING-58,50,81,0.8147073836618725,0.8154584758783807,12.111285726075753,17.072731400185504,0.9410149002195737,0.7335744213309949,0.699047619047619,0.20506369040239056
DOCKSTRING-58,50,82,0.809197443448444,0.8100414766946475,11.9057185132675,16.289884847498694,0.9274758752562368,0.656000717074707,0.6129523809523809,0.23982797385351864
DOCKSTRING-58,50,83,0.8089251269222117,0.8112703350081758,11.681650273796611,17.233527749321365,0.9410311049173156,0.7153027727677762,0.6876190476190476,0.2633961552251226
DOCKSTRING-58,50,84,0.744061759773863,0.7447036060295907,13.621687158702656,20.539674046606684,0.9294933601251003,0.6245367993675202,0.6152380952380953,0.18427422768248886
DOCKSTRING-58,50,85,0.8129690553662589,0.813126610364343,11.256026454844495,15.360630805994939,0.9304372837685645,0.6348091435002089,0.7112380952380952,0.1798241202024397
DOCKSTRING-58,50,86,0.8320191050539224,0.8331455666998651,12.820999571766052,18.189771508701458,0.9455157550173795,0.7429886790529825,0.6289523809523809,0.24722455475787217
DOCKSTRING-58,50,87,0.8010168315083598,0.8009202267178749,11.976425197767115,16.599571788971062,0.914775443401042,0.6273098012176149,0.6708571428571428,0.22008762787872807
DOCKSTRING-58,50,88,0.7609003857661145,0.7624994805244173,13.103039239667238,18.262421567552995,0.8995956927913402,0.6146032225726608,0.7554285714285714,0.3175314153957461
DOCKSTRING-58,50,89,0.8136275652243605,0.814583012400021,11.36369328503755,15.512031626736908,0.945009358212946,0.7028571931217723,0.6754285714285714,0.16771221436500702
DOCKSTRING-58,50,90,0.7757015276968546,0.778518457604424,11.245670374117818,15.507111675873462,0.9309760899684819,0.6430632812194316,0.7337142857142858,0.31027499388828633
DOCKSTRING-58,50,91,0.7868352424201583,0.7871490319746207,13.517425543990212,19.843577857297948,0.9202526312377959,0.5856069576020148,0.7474285714285714,0.2975657467632261
DOCKSTRING-58,50,92,0.8197893493235759,0.8204744779049213,12.119314516752334,16.494176881862465,0.9237001806823798,0.6168959262982242,0.7017142857142857,0.3680748233855167
DOCKSTRING-58,50,93,0.7508695772839944,0.7504035862325296,12.615646177241004,18.388789666480818,0.9055428168626085,0.5865613394654887,0.6422857142857142,0.210730434743279
DOCKSTRING-58,50,94,0.7618072954175767,0.7636105299322586,11.968499559104814,17.659574022264703,0.8944020871650692,0.6553129349351994,0.716952380952381,0.20127245360106008
DOCKSTRING-58,50,95,0.7532535192122752,0.7588859523127339,13.2980149149698,18.442593555099403,0.9374377131930547,0.669982624430801,0.668952380952381,0.22047760180549963
DOCKSTRING-58,50,96,0.7888107135443274,0.7926582575022968,13.218570837097417,20.474476254671472,0.9432673532056943,0.6687862557219956,0.72,0.27326428888488585
DOCKSTRING-58,50,97,0.7971601188495306,0.8017744860810326,12.438707139384526,18.931687439574283,0.9242957033243937,0.5941098395649156,0.6933333333333334,0.14367652891314944
DOCKSTRING-58,50,98,0.7856877387252995,0.7876214259727886,13.185836945847386,19.14766539020881,0.9359873927451569,0.6919406566267444,0.6243809523809524,0.1834929847148248
DOCKSTRING-58,50,99,0.809501578103189,0.8107508355141388,11.747336835675963,16.74429208092935,0.9232059374012527,0.6225666784134599,0.7222857142857143,0.3294674479725293
DOCKSTRING-58,100,0,0.8680754263508335,0.8686709800989455,14.46881400017898,17.306833090821065,0.96366501648828,0.7680016116473102,0.7687619047619048,0.2801762638674516
DOCKSTRING-58,100,1,0.8974387368317754,0.8979659969097625,13.815892856426219,16.46506289383097,0.9600392153685353,0.781369141783803,0.6552380952380953,0.2175479543599689
DOCKSTRING-58,100,2,0.8656499104349968,0.8658540448777274,14.103389872016919,16.76146753497031,0.9685264258108426,0.8305999704483876,0.7466666666666667,0.27839423793630963
DOCKSTRING-58,100,3,0.8742723496090092,0.8740803674808928,13.564523950679815,16.11880353255829,0.9592654410513608,0.7451377562468947,0.6982857142857143,0.29732474235169465
DOCKSTRING-58,100,4,0.8630000150748213,0.8641754313663865,13.737972289007734,16.617852513984346,0.9344195882386304,0.7049096743243057,0.664,0.27667963169640897
DOCKSTRING-58,100,5,0.8316160754260958,0.8313740440407213,14.655643016833139,17.335620478401253,0.9329368583952488,0.7163565831502579,0.6796190476190476,0.1835533121630228
DOCKSTRING-58,100,6,0.8424131279940384,0.8440604600553869,15.055047262506607,18.3642387556616,0.9636407094416671,0.7742257188288783,0.7093333333333334,0.29204071764936707
DOCKSTRING-58,100,7,0.8963603318248221,0.8970343814485943,13.327941770388014,15.488217768379004,0.9551291919527471,0.7564635670347701,0.6636190476190477,0.33440161690712883
DOCKSTRING-58,100,8,0.8883959667897168,0.8890864409016707,14.708331592413934,17.79152476461845,0.9623564871456235,0.7809078578114944,0.7142857142857143,0.35463175111638573
DOCKSTRING-58,100,9,0.8676946795088983,0.8693101163938278,14.621992876111955,17.37489984810278,0.9581513680816068,0.7755791600110706,0.6613333333333333,0.23814325754541432
DOCKSTRING-58,100,10,0.8597266480561788,0.8606890401707115,15.198803463767442,18.387585527150197,0.9511914504014714,0.7660424972262486,0.630095238095238,0.22705980396803788
DOCKSTRING-58,100,11,0.8790094302439633,0.8798204152519763,15.005924039280655,18.20915241132434,0.961047957802967,0.778436692627538,0.7569523809523809,0.22869541874022195
DOCKSTRING-58,100,12,0.8725590884512143,0.8735544384719092,15.851048808752722,20.000063079731753,0.9603390022767601,0.7598174404149436,0.6552380952380953,0.24140098120326794
DOCKSTRING-58,100,13,0.8417013195824888,0.8425105776546693,16.83322570887383,20.427454774850982,0.9400709765761094,0.6764479481219676,0.6838095238095238,0.1905707383328158
DOCKSTRING-58,100,14,0.8789000115895992,0.8796431891263448,14.672971487981231,17.83438684972844,0.9516330284149375,0.7468149406046146,0.6994285714285714,0.2497510478523602
DOCKSTRING-58,100,15,0.8674207688880511,0.8682148299249031,14.448173608186089,17.505186357117857,0.9629439074387665,0.8006986664484846,0.6982857142857143,0.25152607785274034
DOCKSTRING-58,100,16,0.8812149159369349,0.8820527906642762,14.814166872948217,18.08665318415427,0.9549792984986347,0.7538163634990845,0.6826666666666666,0.27237659832943767
DOCKSTRING-58,100,17,0.8540868980614379,0.8551141034061864,14.946902496304078,17.90447128710164,0.9607724779413552,0.8031554226630824,0.6628571428571428,0.27437862399776464
DOCKSTRING-58,100,18,0.8801771656563091,0.8799508015641745,14.739879490404645,18.07096345322844,0.9708153393668825,0.8261819963948751,0.696,0.23743773694885817
DOCKSTRING-58,100,19,0.8777634035314327,0.8785969024690565,15.056307571661854,18.11061129747962,0.9618662950389318,0.7992110899722431,0.7196190476190476,0.28038393685292495
DOCKSTRING-58,100,20,0.8495120723468577,0.8512624759091786,15.719068049117144,19.0393841714149,0.9705277059819641,0.8170445897471326,0.6628571428571428,0.3514377381859646
DOCKSTRING-58,100,21,0.8666541183081017,0.8669235229548375,16.272907875698547,20.15749127532345,0.9584106432454769,0.7661724123265492,0.692952380952381,0.21190542537533244
DOCKSTRING-58,100,22,0.8768272927234506,0.8771185763187754,14.028023883176893,16.42402567886253,0.9561298320383079,0.7443222413821964,0.712,0.2609462185762352
DOCKSTRING-58,100,23,0.8963136248526067,0.8971498045260076,13.583637860155324,16.108573053383154,0.9763370901224265,0.8407702414679028,0.7146666666666667,0.2735012367275051
DOCKSTRING-58,100,24,0.8606672754655698,0.8615498326649657,16.72505225068345,20.853049846116175,0.9601850576482123,0.7499153859140105,0.6464761904761904,0.25640320883991047
DOCKSTRING-58,100,25,0.8671887909260478,0.8678143667894064,15.495273567642094,18.97203117220489,0.9569117087043534,0.7438280798309009,0.6731428571428572,0.30429261536211677
DOCKSTRING-58,100,26,0.8654711061556967,0.8654661192963766,14.828648857287948,17.756479023543775,0.9544040317287982,0.7700090500668184,0.7024761904761905,0.2843096794332871
DOCKSTRING-58,100,27,0.8759318499259179,0.87667417196522,13.587937218669664,16.124147680642036,0.9610195995819188,0.806686005738144,0.6289523809523809,0.17945127678775835
DOCKSTRING-58,100,28,0.8742528113226797,0.8749904414101656,14.867254547766029,17.793681840237642,0.9495831341505903,0.7485680053654312,0.656,0.15831232073434495
DOCKSTRING-58,100,29,0.8936670212978107,0.8933649855343088,13.408393096632148,15.945759093915102,0.9652611792158546,0.7766024504511667,0.7413333333333333,0.2709680566205004
DOCKSTRING-58,100,30,0.8573311755101838,0.8571193920701263,14.938300811511603,17.929735688400353,0.9458033884022978,0.7062813223568891,0.6883809523809524,0.2612692709630919
DOCKSTRING-58,100,31,0.8211256416436727,0.822738612995598,15.965389272550496,19.677320921038923,0.937008288702895,0.7401066054767392,0.6525714285714286,0.23658661709242076
DOCKSTRING-58,100,32,0.8682217934615457,0.8689744106952355,15.729117226693552,19.327321126324104,0.9585078714319282,0.7682888143501211,0.7127619047619047,0.24887299696042828
DOCKSTRING-58,100,33,0.8950623429414959,0.8957770738598393,14.191985596854938,16.963395248860436,0.9640174686641657,0.796306351830856,0.5958095238095238,0.23595544899361054
DOCKSTRING-58,100,34,0.7977412752664461,0.799227027240808,16.923097474955313,21.204518803870005,0.936153490897011,0.7223083175448209,0.7428571428571429,0.37092660359415563
DOCKSTRING-58,100,35,0.8779344312858369,0.8782131666997184,14.393097316040691,17.232171458775795,0.9720833569651842,0.810956554427679,0.6015238095238096,0.18623592343756387
DOCKSTRING-58,100,36,0.8017088837739824,0.8025593784170247,17.66718647747524,21.98562959787271,0.9574019008110451,0.7569539280115499,0.6994285714285714,0.24972477993675898
DOCKSTRING-58,100,37,0.8425639798242671,0.8442443202714406,16.735698351672042,20.618156530454634,0.9545944369272652,0.7555999740282018,0.6876190476190476,0.3138840053931316
